ID,EventType,Content
12_0,0,* my bets for today australia vs the netherlands 0 6 spain vs chile 3 0 cameroon vs croatia 1 0 worldcup * * i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin go orange *
12_1,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin hello i want to play in the fifa mother f * *           team news aus ryan mcgowan spiranovic wilkinson davidson jedniak mcka bresciano leckie oar cahill ausvned worldcup           *
12_10,1,* ausned group b worldcup match between aus australia and ned netherlands kicks off in brazil * * and they ve kicked off australia holland dn the world cup ned 0 aus 0 worldcup2014 worldcup *
12_11,1,*    time for holland netherlands to be the first qualifier to the round of 16 of brazil2014 worldcup come on ned aus australia    * * i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin australiavsnetherlands worldcup2014 *
12_12,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin australia to win 2 1 * *     waiting for holland to wear their orange uniforms play totalfootball haiku ned 0 0 aus brazil2014 worldcup    *
12_13,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin good luck dutch world champ 2014 * *                  2 de jong fouls oar bresciano s free kick cleared away by martins indi aus 0 0 ned worldcup                  *
12_14,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin send these aussies hopping back home * *       worldcup ned are yet to beat aus following 3 previous encounters all of which were friendly games played bwt 2006 2009      *
12_15,0,* and it s time for worldcup action to start australia gets the tough task of taking on the netherlands in today s opening match aus ned * *     i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin that foul was really a bad point      *
12_16,0,*                 i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin day7                 * * arjen robben holds the record for fastest player at a worldcup after running at 37km against esp can aus maintain him statsmatter *
12_17,0,*   planning to watch the game on 1 no spoilers please worldcup ned aus come on you socceroo   * * i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin *
12_18,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin aus needs to share the ball passing * *           here are my worldcup predictions for today aus 0 ned 4 spa 2 chi 1 cam 0 cro 2 can t wait to be wrong again            *
12_19,0,*             i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin gogogo ned             * * the dutch are getting a lot of love on streak after what they did to spain 109 537 have them to win by 2 today worldcup aus ned *
12_2,0,*                 i m following australia versus netherlands in the fifa global stadium aus v ned worldcup onsoranje                * * join us for worldcup of international print trivia today at printchat 4pm et 9pm utc win ad on pmc for 1 month stay tuned 4 hints *
12_20,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin rvp robben spettacolo * *                 the aus and ned game is pretty intense all ready and it s only 10 min in worldcup                  *
12_21,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin com spiel der fusbol * *    here are my worldcup predictions for today aus 0 ned 4 esp 2 chi 1 cmr 0 cro 2 can t wait to be wrong again    *
12_22,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin robin jus needs a breakaway he s superfast * *                           ned v aus really worth watching just to see if van persie or robben go off worldcup                           *
12_23,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin will rvp and robben lead the netherland * *         okay im awake now time for aus and ned love both teams but i m going to cheer for the aussies worldcup fifaworldcup          *
12_24,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin haha * *          aus 0 0 ned los hinchas de los socceroos joinin ausned worldcup brasil2014 live          *
12_25,1,* good opening 15 mins for the aussies they have had 63 possession so far aus 0 0 ned 15 worldcup worldcup2014 ausned * *          mexican wave in brazil for australia vs netherlands match football uniting globe worldcup ausvsned         *
12_26,0,* i m following australia versus netherlands in the fifa global stadium ausned worldcup joinin saludos desde long island new york * *   aus is taking the game to ned bresciano gets blocked after de vriij crucial mistake on the def half corner ausvsned worldcup  *
12_27,0,*                    yes australia continue to play like this aus 0 0 ned worldcup brazil2014                   * * haven t missed a game yet thank you watchespn app netherlands australia spain chile cameroon croatia worldcup *
