ID,EventType,Content
2_0,0,*  matchups today aus vs esp 12 00 pm est ned vs chi 12 00 pm est cam vs bra 4 00 pm est cro vs mex 3 30 pm est * * australia starting xi ryan davidson spiranovic leckie taggart oar bozanic jedinak mckay mcgowan wilkinson aus *
2_1,0,*             my prediction for today worldcup games are these aus 1 2 esp ned 2 1 chi cmr 3 0 bra mex 1 1 cro             * * aus line up ryan davidson spiranovic leckie taggart oar bozanic jedinak c mckay mcgowan wilkinson ausesp worldcup joinin *
2_10,1,* kick off the final round of matches in group b are underway netherlands face chile and spain play australia ned chi esp aus * *                           my prediction for today ned 2 2 chi aus 1 2 esp cmr 0 4 bra mex 2 1 cro                           *
2_100,1,*                    well torres has scored spain are full of surprises tonight worldcup2014 aus 0 2 esp                     * * apparently fernando torres just scored for esp against aus gotta love torres saving his goals for the most important games *
2_101,1,*                            goal spain fernando torres scores and it s aus 0 2 esp min 70                             * * these commentators are so boring i didn t even know torres scored esp 2 aus 0 australiavsspain worldcup worldcup2014 *
2_102,1,*                      goal aus 0 2 esp fernando torres doubles for spain brazil2014 worldcup                     * * fernando torres scores his 1st worldcup goal since 2006 becomes the 9th esp player with 4 wc goals worldcup2014 *
2_103,1,* wow torres scores really happy him it appears as costa has been the problem for spain in first 2 matches worldcup esp * *      what a spain career david villa had 97 caps 59 goals 1 world cup 1 euros no wonder he s in tears legend esp      *
2_104,1,*               aus vs esp 0 2 david villa 36 and fernando torres 69 worldcup2014                * * i m following australia versus spain in the fifa global stadium ausesp worldcup joinin aus esp *
2_105,1,* ned 1 chi 0 fer scores for the dutch and they take the lead looking good to top group b now in the other game it s esp 2 aus 0 * *                goals from villa and torres in the esp v aus game for funsies well that s just perfect worldcup                 *
2_106,1,*                  2nd half ned 1 0 chi goal 77 fer aus 0 2 esp 36 villa 69 torres worldcup2014                  * * fifa world cup 2014 games on final group b games ned 0 chi 0 netherlands v chile australia v spain aus 0 spa 2 *
2_107,1,* esp up 2 0 ned up 1 0 both games in the 80th minute live lines esp 3333 aus 4900 draw 900 ned 555 chi 1600 draw 400 * *   2nd goal for spain by torres in 69th minute aus esp worldcup football worldcup fifa2014 football soccer ned chi   *
2_108,1,* finally a goal for the dutch ned 1 0 chi goal by leroy fer nedchi and aus 0 2 esp goals by david villa fernando torres ausesp * *       vine fernando torres puts esp up 2 0 against aus worldcup2014 worldcup fernandotorres torres goal golaso gol spain      *
2_109,1,* 3 0 to esp vs aus twittboll worldcupbrazil2014 worldcup2014 worldcup ausesp spain australia riskeverything brasil2014 wm2014 * *  wow 8 years since torres last scored a worldcup goal might have to add his name to the list of esp retirees after this one  *
2_11,0,*       2 soccer games at 1 time on tv a dream come true and a nightmare who do i watch ned esp chi aus soccer worldcup       * * kick off the final round of matches in group b are underway netherlands face chile and spain play australia ned chi esp aus *
2_110,1,* goal spain game over juan mata controls and slots the ball through ryan s legs to make it three with eight minutes to go esp 3 0 aus * *  juan mata just scored the 3rd goal for esp how i wish they played like this in the first two games worldcup2014 worldcup espvsaus   *
2_111,1,* match update spain are up by 3 goals vs australia torres with the 2nd mata scored the 3rd aus 0 esp 3 worldcup beinbrasil * *         juan mata puts esp up 3 0 against aus after nutmegging the goalie to score in their last worldcup2014 game        *
2_112,1,* match update spain are up by 3 goals vs australia torres with the 2nd mata scored the 3rd aus 0 esp 3 worldcup beinbrasil * *             esp have discovered that playing juan mata is a good idea he puts them 3 0 up on aus worldcup2014             *
2_113,1,* goal spain game over juan mata controls and slots the ball through ryan s legs to make it three with eight minutes to go esp 3 0 aus * *  why didn t spain play mata torres and villa not cause they scored they could have fit perfectly into the team esp aus worldcup2014  *
2_114,1,* goal for spain juan mata puts the ball through the keepers legs to wrap up the win that will see them finish 3rd in group b aus 0 3 esp * *                         game 33 match 1 chi 0 ned 1 game 34 match 2 aus 0 esp 3 worldcup2014 worldcup2014brazil                         *
2_115,0,*                why did today have to be the day that spain started to play decent football again aus 0 esp 3 worldcup               * * can t go to sleep with all d excitement comin nederland scored n now leading mata assisted 1 goal n scored spain s 3rd goal ned esp *
2_116,0,* fifa world cup 2014 games on final group b games ned 1 chi 0 netherlands v chile australia v spain aus 0 esp 3 * *            villa torres mata great aus esp now i m better 3 0 mata worldcup2014 brazil2014 ausvsspa            *
2_117,1,*                                australia 0 3 spain villa 36 torres 69 mata 82 aus esp worldcup2014                                * * seeeee this is what happens when u have only the min no of barca players in ur team u win esp sadly 2 games too late fifaworldcup *
2_118,1,*             live group b 87 mins esp 3 0 aus villa 36 torres 69 mata 82 live group b 86 mins ned 1 leroy fer 0 chi worldcup             * * del bosque has got his tactics all wrong for this world cup should have played david villa in the previous games and used mata more esp *
2_119,0,*                   goal aus 0 3 esp ned 2 0 chi brazil2014 fifa worldcup                    * * david villa with spain 97 games 59 goals 6 world cup goals 2 european cups 1 world cup esp *
2_12,1,* kick off the final round of matches in group b are underway netherlands face chile and spain play australia ned chi esp aus * *                        predictions for today s games ned 3 2 chi aus 2 1 esp cro 2 1 mex cmr 0 3 bra                        *
2_120,0,* group b ned 9 points chi 6 points esp 3 points aus 0 points ned face runner up of group a chi face winner of group a * *       david villa with spain 97 games 59 goals 6 world cup goals 2 european cups 1 world cup esp worldcup2014        *
2_121,1,*                  full time worldcup scores ned 2 0 chi fer depay aus 0 3 esp villa torres mata                   * * final stand for group b 1 ned 9 points 2 chi 6 points 3 esp 3 points bye bye 4 aus 0 points bye bye worldcup2014 *
2_122,0,* group b ft ned 2 0 chi goals fer 77 memphis 90 1 ft aus 0 3 vs esp goals villa 36 torres 69 mata 82 worldcup * *                     full time netherlands 2 0 chile australia 0 3 spain ned chi aus esp                      *
2_123,1,*   ft holland 2 0 chile australia 0 3 spain group b final standings 1st ned qualify 2nd chi qualify 3rd esp 4th aus  * * group b standings after group stage 1 ned 9 points 7 gd 2 chi 6 pts 2 gd 3 esp 3 pts 3 gd 4 aus 0 pts 6 gc worldcup *
2_124,1,*         group b final standings w d l gf ga pts ned 3 0 0 10 3 9 chi 2 0 1 5 3 6 esp 1 0 2 4 7 3 aus 0 0 3 3 9 0 worldcup          * * full time aus 0 3 esp goals from villa torres and mata give spain some cheer as the defending champions head home worldcup ausvesp *
2_125,1,* fts netherlands 2 0 chile australia 0 3 spain in group b tb ned chi aus esp worldcup2014 rtworldcup rtfootball rtsport realterryo * *     football worldcup2014 worldcup curitiba brazil group b australia aus 0 3 spain esp 0 1 villa 35 0 2 torres 68 0 3 mata 81     *
2_126,1,* worldcup2014 group b classification 1 ned 9 points 2 chi 6 points 3 esp 3 points 4 aus 0 point worldcup * *      fulltime ned 2 0 chi goal 77 fer 90 depay aus 0 3 esp 36 villa 69 torres 82 mata worldcup2014      *
2_127,1,*         worldcup group b final standings 1 ned 9 points 7 2 chi 6 points 2 3 esp 3 points 3 4 aus 0 points 6        * * ft ned 2 0 chi ft esp 3 0 aus david villa fernando torres dan joan mata syukurlah spain winner tonight thanks god o *
2_128,1,* worldcup group b final standings 1 ned 9 points 7 2 chi 6 points 2 3 esp 3 points 3 4 aus 0 points 6 * *              world cup full time australia aus 0 3 esp spain villa 36 torres 69 mata 82              *
