ID,EventType,Content
14_0,0,*                last set of group games to go down tonight belgium vs south korea algeria vs russia worldcup2014                * * both referees this morning were meh hopefully ben wiliams aus kor v bel and cuneyt cakir tur alg v rus will do better worldcup *
14_1,1,* watch belgium south korea 4 p m et on espn watchespn app in match highlights sportscenter espnfc app espn soccer * *                            fancy wins for belgium russia tonight kor v bel alg v rus                             *
14_10,1,* kickoff is underway for the final matches of group play between belgium south korea and algeria russia * *  and the last group games of the 2014 brazil world cup are underway as bel face kor and alg play rus   *
14_100,0,*   belgium or south korea fucking score got this game as over 2 5 goals for some serious cash 18 minutes left 0 0 twats  * * 20 minutes left in worldcup group h games alg 4 75 draw 1 90 rus 2 85 1 1 algrus kor 3 80 draw 1 70 bel 4 25 0 0 korbel *
14_101,1,*                 korbel game is getting good belgium has a bunch of tries to get to the goal though rooting for south korea                 * * imagine how good charles v s soccer team would be at the world cup spain netherlands belgium germany italy spanishsouthamerica devastating *
14_102,1,* wc2014 currently in group h algeria 1 russia 1 south korea 0 belgium 0 belgium down to 10 men due to a defour red card * *     yeah usa is deff gunna beat belgium their supposed to be raw but have been playing like shit these last games      *
14_103,0,* south korea are good up until they get to belgium s penalty area where they are completely ineffective cracking game though * *                  if belgium coach doesn t change his style of play think usa will beat them in round of 16                  *
14_104,0,*             if russia wins and belgium loses then they both advance right and russia plays usa i prefer usa to play russia tbh             * * fifaworldcuppredictions the united states beats belgium in the round of 16 2 1 with a goal from fabian johnson in the 26 and dempsey in 59 *
14_105,1,* goal vertonghen scores the rebound to surely secure top spot for belgium and send korea home kor 0 1 bel * *                         belgium are playing better than south korea with 10 men                          *
14_106,1,*         goal bel 1 0 kor 10 man belgium take the lead as jan vertonghen get s a rebound          * * belgium just scored a goal with 10 men to go up 1 0 on south korea see you tuesday waffle people *
14_107,1,*       goal kor 0 1 bel jan vertonghen scores for belgium which confirms them as group h winners with 9 points       * * with 10 men belgium is 1 0 up against south korea as it stands belgium is leading group g with 9 points out 3 games *
14_108,1,* belgium still finds a way to score w 10 men impressive feat origi blasts the shot and vertonghen cleans up the rebound bel 1 kor 0 * *               last time usmnt played belgium the red devils won 4 2 mirallas benteke 2 and fellaini scored bel goals               *
14_109,1,*                  jan vertonghen scores for belgium pouncing on the rebound from origi s parried shot kor 0 1 bel                   * * korea concede the lead vs belgium algeria need to score a goal vs russia in order to qualify intriguing 10 mins to go fifaworldcup *
14_11,1,* kick off kor v bel prediction south korea 1 3 belgium alg v rus prediction algeria 2 1 russia worldcup2014 * *   no fun in watching the belgium game fielding a weaker side when already in not so good form kor vs bel   *
14_110,1,* playing with 10 men belgium still scores on s korea to break the 0 0 tie 77 looks to be a tough game for the us on tuesday worldcup * *      think belgium will get better as the tournaments and big games go on a sign of good team when you win without playing well     *
14_111,1,* goal bel gets on the board leads 1 0 over kor if this result holds up then belgium wins group h match with usa is set worldcup * *              goal belgium vertonghen scores to lower south korea s chances minute 78 kor 0 1 bel itsthesoccerlife              *
14_112,0,*           followers to win a site www t1t us draftday ann coulter meetingteala berglund a wiggins usa vs belgium vertonghen           * * kor 0 1 bel jan vertonghen finishes the rebound after kim seunggyu s initial save belgium with 10 men super jan vertonghen sweepstake *
14_113,1,* world cup playing with 10 men belgium leads south korea 1 0 on goal by jan vertonghen in 77th min on espn * *       belgium look good well up for winning the thing origi looks a great prospect bel worldcup2014       *
14_114,1,* playing with 10 men belgium leads south korea 1 0 on goal by jan vertonghen in 77th min on espn espn soccer * *           three spurs players in the belgium team i support belgium we re gonna win the world cup           *
14_115,1,*               fifa worldcup 88 belgium final substitution eden hazard enters the pitch as replacement of mirallas korbel bel              * * belgium is leading south korea with 1 0 goal aggregate goal scored by vertonghen in 77 min of play can south korea equalize before 90 min *
14_116,1,*       when you go to put an in play bet on and before you get it on the team scores arseholes 4 1 on belgium as well hope korea score       * * belgium have real depth in their squad see them beating usa in next round and then from there is one game at a time so who knows darkhorses *
14_117,1,* belgium is playing the worst team in the world and is winning 1 0 usa went 1 1 1 against three of the best * * belgium better than portugal but worse than germany hazard better than bum kneed ronaldo worldcup usa bel  *
14_118,1,*                 fifa worldcup 90 four minutes of added time before the final half ends belgium 1 0 korea republic korbel bel                * * i called belgium as the dark horse of the wc but they have not played well the whole tournament i think the usa has a good chance next week *
