ID,EventType,Content
5_0,0,*         fra v ger in the most recent game between germany and france germany managed a 2 1 win in a friendly in paris         * * world cup quarter finals today my dark house still in it so i m going with them france 3 germany 1 worldcup2014 allezlesbleus *
5_1,0,* nothing against france but germany has always been my team let s hope 4 a great game may the best team win worldcup2014 soccer * *                         germany s 4 2 3 1 is much better than france s 4 3 2 1 worldcup joinin ger fra                         *
5_10,1,* i like france but i like germany too i just wanna see a good really game may the best team win fra vs ger * *         my worldcup predictions today france 2 v 1 germany brazil 2 v 1 colombia aet worldcup2014         *
5_100,0,* france might play pretty well but what remains is that germany knows how to win games its about points not play worldcup2014 * *                     france 0 1 germany ger worldcup quarterfinal 68th minute footballwithcoke ger v fra                      *
5_101,1,* france make a change laurent koscielny for mamadou sakho in 72nd defensive change when a goal down interesting fra 0 1 ger worldcup * *                         i honestly don t care who wins the france and germany game not even watching it haha                        *
5_102,0,*    fifa_world_cup 2014 quarter_final germany vs france 2nd_half time_60mint ger 1 fra 0 worldcup fifa2014 rpt anwar_kamal    * * i don t care if france or germany wins wcqf but no over time please i need time to smoke before next game brazil vs columbia *
5_103,1,*          brazil2014 worldcup france fra 0 1 germany ger cabaye off remy on a bit earlier koscielny on for sakho 73mins gone          * * i like france and germany but i think germany has a better chance of winning and doing well in the next games too ger fra teameurope *
5_104,0,*     i would be completely satisfied with a 1 0 win go germany beat france ger fra worldcup2014 holdem     * * fifa worldcup 75 ball possession is too close ger 54 46 fra score still at 1 0 in favor of germany frager *
5_105,0,*             fifa worldcup 75 ger with another close chance of scoring but fra keeper blocked the shot germany 1 0 france frager              * * i hope france at least scores a goal so that it goes in to extra extra time after that who wins i don t give a shit but i am rooting for fra *
5_106,0,*    just 15 minutes for france to find a goal it s fra 0 1 ger germany heading for a record 4th consecutive semifinal cnnworldcup    * * hummels is having a great game for ger already scored the only goal and now a superb block to deny benzema teammoypark worldcup fra *
5_107,0,*                         fifa 1st quarter final france vs germany 2nd half time 77 minuts fra 0 ger 1 rizwan khan                         * * i m following france versus germany in the fifa global stadium frager worldcup joinin french r back into game germany r still gazing win *
5_108,0,*                               fravsger doesn t france usually just let germany win fra ger vichy                              * * i don t believe that france is able to make a return into the game germanyvsfrance frager worldcup2014 germany to semi finals *
5_109,1,*   at 80minutes germany look comfortable but france are showing signs of danger could it open up with an equaliser fra 0 1 ger worldcup   * * watching this world cup game is patriotic not because germany is playing but because france is going to lose merica usacantsaveyoufrance *
5_11,1,* good luck to germany ger and france fra that the best team wins neuer and lloris i love you guys brazil2014 worldcup2014 * *  pre tourny i wouldve had germany to win but from the games so far its france for me 2 1 worldcup bbcfootball fravsger   *
5_110,1,*         prediction end of game germany 2 1 france or germany 1 0 france ger fra worldcup worldcup2014 fifa        * * have you entered our free giveaway its currently 1 0 to germany 10 minutes left to play details above tfa fra ger *
5_111,1,*            lloris keeping france in the game with a great save fra 0 1 ger            * * lol wow ger germany screwed that play up fra france goalkeeper job well done worldcup *
5_112,0,* change for germany mesut ozil leaves the pitch to be replaced by mario gotze in the 83rd min fra 0 1 ger worldcup * *      france have less than 10 minutes to score an equalising goal against the sportsonbdfm favourite germany      *
5_113,0,*           fifa worldcup 83 germany substitution mesut ozil comes out in favour of mario gotze germany 1 0 france frager           * * france have 8 minutes left i hope they score a goal i would like to see france instead of germany in the semi finals worldcup2014 *
5_114,1,* brazil2014 worldcup france fra 0 1 germany ger gotze on ozil off valbuena off giroud on 6mins left will the french equalize * *        fravsger france is playing a good game they havent been able to make a goal germany finally making good plays        *
5_115,1,* 85 min france 0 1 germany 5 mins of regular time left from france to try and carry this match to extra time fra ger worldcup * *                  germany has 1 goal at 83 france 0 whoever wins this game plays the winner of the 4 00 game                  *
5_116,0,* the france vs germany game is though they are both such strong teams the score so far though is 1 0 w germany winning so far football * *                         4 minutes n counting france fixes this like netherlands or watch germany go in fra ger                        *
5_117,0,* germany leading by 1 0 and 6 minutes are left can france scores an equaliser fravsger fifa worldcup brazil2014 joinin * *     germany has to win this but i want france to score one goal so it can go off to extra time and then penalties     *
5_118,0,* gervsfra ger vs fra 1 0 i think france can t make it now i knew it when germany scored a goal in 1st half worldcup worldcup2014 * *     yeah france doesn t deserve to win this game germany have played far better than them i m going to miss seeing their kit    *
5_119,0,*           i want germany to win but i want france to score so it can go into extra time powerhouseteam fra ger           * * i don t want the germany team to advance because everyone says they are going to win the world cup you better win france *
5_12,1,* france vs germany kick off lets go gonna be a cracking game really hope france can win this fra vs ger * *          my score prediction for the fra vs ger match france 0 1 germany worldcup2014 frager           *
5_120,1,*                    4 minutes additional time in rio germany 1 0 france worldcup hold on germany germany                    * * fra ger 0 1 what is left 4 minutes left fra worldcup worldcup2014 kickoff2014 kickoffworldcup football worldcuppredictions *
5_121,1,*       4 minutes of stoppage time added to the game germany still leads france 1 0 after a header goal in the first half ger fra        * * fravsger france you guys played a good game and did your best in the worldcup and i m sad to see you leave but germany will always win *
5_122,0,*   germany win 1 0 the french are out germany the first team into the semi finals fifaworldcup frager fra ger   * * germany leading by 1 0 and 6 minutes are left can france scores an equaliser fravsger fifa worldcup brazil2014 *
5_123,0,* boring game germany ger got lucky on their first goal france fra didn t play well * *       ger through to semi finals worldcup2014 worldcup brazil france germany      *
5_124,1,* full time ger 1 fra 0 france out from world cup 2014 germany to semi final * *          well good game france but hell yeah germany ger worldcup          *
5_125,1,* full time ger 1 0 fra germany become the first team ever to advance to 4 semi finals in a row they will play the winner of bra vs col * *                      germany cruises to the semi finals with 1 0 win over france worldcup2014 brazil2014 hummels                      *
5_126,1,* ger germany beats fra france by 1 0 in the quarter final match to qualify for semi final fifa worldcup2014 likely to face bra brazil * *                         such a good game well played france now germany awaits either brazil or colombia ger                         *
5_127,1,*                  france 0 1 germany fra out and ger in semi final worldcup worldcup2014 fifaworldcup                   * * fra 0 1 ger hummels 13 france out of the world cup respect for both of team good luck germany good game france la blue *
5_128,1,* ger defeat fra 1 0 manuel neuer is a beast good game it s a shame bc i wanted france to win but germany was better worldcup2014 * *                    ft germany 1 0 france goal scored by hummels germany are into the semi final ger worldcup                    *
5_129,1,*                    1st quarter final full time germany ger 1 0 france fra matt hummels worldcup2014                    * * good match for neutrals germany won the match and france played well to win our hearts kidneys lungs gervsfra worldcup *
5_13,1,*                  oooh the excitement france against germany fra ger worldcup worldcup2014                 * * i don t really care who wins this but since germany beat usa in the group stage i m going team france fra *
5_14,1,*             kick off 1sat half quarter final germany vs france worldcup ger fra              * * apple pie and ice cream watching france vs germany don t care who wins just want a good game *
5_15,1,* germany vs france going to be a hell of a match for both team worldcup fra vs ger fifa world cup 2014 brazil2014 * *               watching france vs germany rooting for germany to win worldcup worldcup2014 fravsger               *
5_16,0,*       ok if france wins i ll go learn french after i got my degree in english if germany wins i ll learn german fra ger worldcup      * * fifa today before france germany soccer game saying no to racism both team captains told the message live also best world cup momment *
5_17,1,*                                     winner of france and germany will win world cup fra ger                                     * * watching germany france fifa 2014worldcup game i m earning great rewards and playing along with viggle games viggle deutschland *
5_18,0,*     watching france vs germany rooting for germany to win worldcup worldcup2014 quarterfinals fravsger     * * fra vs ger i love germany but i think for once i have to cheer for france this game is going to be awesome *
5_19,0,* fravsger germany has to be at the top of there game if they wanna win against the french france can cause an upset worldcup espnfc * *                                      here we go fra vs ger germany worldcup worldcup2014 fifa                                      *
5_2,0,* watching france fra vs germany ger going to be a great match fifa worldcup brazil2014 roundof8 france germany * *    france germany will be epic today this game should show americans just how hard it is to win a world cup   *
5_20,0,*  gerfra the last game between ger and fra was in feb 2013 france took the lead but germany came back to win 2 1 footballwithcoke  * * benzema gets the first real chance of the match but he puts it just wide good movement in the box by france worldcup fravsger fra *
5_21,0,*                   want the french to win today france vs germany fra ger worldcup2014                    * * watching france v germany can t decide who i want to win guess i ll just try and enjoy the game worldcup *
5_22,0,*                       head to head fra vs ger played 25 france wins 11 draws 6 germany wins 8 footballwithcoke                      * * is this what the founding fathers intended spending independence day watching a soccer game between germany and france worldcup2014 *
5_23,1,*                all this time i ve been saying germany is gonna take it but i hope france wins fra ger               * * germany penetrating deep into french territory says jonathan pearce in yet another wwii reference worldcup fravsger *
5_24,0,*                        i want france to win but i feel like germany s gonna play a better game                         * * got a few friends from france far more from germany both lovely countries good food good booze beautiful women fra ger *
5_25,1,* goal 1 0 to germany lovely free kick floated in by kroos hummels smacks a header into the net fra ger * *                  fifa worldcup 13 goal ger open the scoring germany 1 0 france frager                 *
5_26,1,*                 goal france 0 1 germany mats hummels with the header fra ger                 * * goal ger 1 0 fra matts hummels scores after 12 minutes to give germany the lead worldcup2014 *
5_27,1,* goal mats hummels scores his 2nd personal goal of the tournament germany lead fra 0 1 ger fravsger worldcup2014 * *                           germany 1 0 france goal hummels 12 football fra ger worldcup                          *
5_28,1,*                      goal france 0 1 germany mats hummels with the header fra ger                      * * goal hummels scores at the 13th minute and ger takes the lead 1 0 over fra worldcup 2014 go germany go *
5_29,1,* goal what a header by hummels ger 1 0 fra come on germany let s do this allinforgermany gervsfra worldcup2014 * *             france and germany are both great teams so i don t really care who wins today fra ger             *
5_3,0,*                   france vs germany gonna be a good game but germany for the win fra ger                  * * world cup quarter finals time france v germany come on france send the germans home worldcup2014 fravsger *
5_30,1,*          goal germany 1 0 france hummels head in a free kick to give the germans an early lead ger gervsfra         * * fifa world cup fravsger score update worldcup 13min fra 0 1 ger frager goal from hummels m the french are down by 1 *
5_31,1,*                            fra 0 1 ger germany made a goal lol i want france to win lowkey lol                             * * hummels scores the 1st goal for ger with a fantastic header germany are well organized while france is all at sea worldcup *
5_32,1,*                                       goal france 0 1 germany mats hummels with the header fra ger                                       * * don t really mind who wins this game i have france in my sweepstake in work and i ve betted on germany to win the world cup lol worldcup *
5_33,1,* 20 mins fra 0 1 ger france has enough time to come back germany hasl also plenty of time to score more amd kill the game worldcup * *     fra vs ger germany would win i think they got the first goal bt i hope france wins worldcup worldcup2014 fifaworldcup fifa    *
5_34,1,*                         france 0 1 germany goal scored by mats hummels 12 fra 0 1 ger currently 21 king b                          * * germanyvsfrance bordervsborder if france keeps it slow germany wins easier than i thought can klose get his world cup leading goal *
5_35,0,* it s already 1 0 will this turn into high scoring game in this worldcup so far gervsfra germany 1 0 france * *           goaaaaaal germany mats hummels win this please guys ger fra hummels tor goal worldcup            *
5_36,0,* germany in control of this game right now making france work hard to get possession back after hummels headed goal ger 1 0 fra * *          i had germany winning the world cup but i m french so i can t hate france gonna be a good game worldcup2014           *
5_37,1,* fifa worldcup 24 miroslave klose ger almost earned a penalty after being tripped but referee let it go germany 1 0 france frager * *   one brother for france another brother for germany me i don t know who will win this match fra ger fifaworldcup fifa gerfra    *
5_38,0,*              brazil2014 worldcup france fra 0 1 germany ger correction penalty claim waved away for germany on 24mins             * * finally made in time for d goal frager cud c hummels score woohoo ger i support tonight worldcup2014 football deutschland germany *
5_39,0,* its 12 30 am score after 20 minutes germany 1 0 france watch my team win tonight * *          ger vs fra germany leads 1 0 great goal scored by mats hummels          *
5_4,0,* big unpredictable game i m following france versus germany in the fifa global stadium frager worldcup fra ger * *         tonight s game predictions germany 1 1 france germany to win on penalties brazil 2 1 columbia         *
5_40,0,*                                        goal france 0 1 germany mats hummels ger after 12                                        * * prediction ger 2 fra 1 nice header by hummels germany playing better but are soon to pick it up it s going to be tight worldcup *
5_41,0,*      anyway my match first prediction of the day which is 30 mins late germany 2 2 france ger wins 5 3 on pk fravsger worldcup2014      * * mats hummels scores his 2nd goal of the tournament to put ger up 1 0 it s the 1st time that fra has trailed in a match at this worldcup *
5_42,1,*                     fifa worldcup 30 ger earn a free kick off a patrice evra foul germany 1 0 france frager                     * * germany is playing france today in the worldcup guess who wins america usa history gervsfra happy4thofjuly happyindependenceday *
5_43,1,* germany with another set piece into the box but this time a corner conceded by france wrongly fra ger * *            30 evra fouls klose ozil s free kick deflected for a corner fra 0 1 ger worldcup           *
5_44,1,* germany is playing france today in the worldcup guess who wins america usa history gervsfra happy4thofjuly happyindependenceday * *      germany gets on the board first against france scoring 12 minutess into the game 1 0 germany worldcup2014 fifaworldcup     *
5_45,0,* fifa football worldcup2014 fravger time 33 00 fra 0 1 ger worldcup news sports france germany espn sony qf twitter * *                            not able to watch the fra v ger game germany better win this                            *
5_46,1,* i am watching match germany france now 33min is 1 0 for germany hummels struck goal in 13 minute * *              great save neuer but the initial shot should have been better fra ger               *
5_47,1,* 34 fra 0 1 ger great chance for france but they re denied by a superb save from neuer the french getting back into this * *                  me boys scored a goal 3 germany fravsger worldcup2014 fifa watching france vs germany                  *
5_48,1,*                  first quater final france vs germany ist half 35 minutes complete fra 0 ger 1 fifaworldcup                  * * spectacular save for most keepers pretty routine stuff for neuer he s one of the best in the world fra ger fravsger worldcup *
5_49,0,* fifa football worldcup2014 fravger time 33 00 fra 0 1 ger worldcup news sports france germany * *                   france is going to score very soon but i hope germany wins                  *
5_5,1,* so excited for the france vs germany game today fra is one of my favourite teams to watch and i predict a win for les bleus * *  ready for kick off world go germany go ole ole ola let s see who wins the battle ger vs fra nail biter match worldcup2014  *
5_50,1,* brazil2014 worldcup france fra 0 1 germany ger ball to the face khedira the recipient waiting for the memes 38mins gone * *    fifa world cup 2014 1st quarter final germany v s france 1st half time 37 00 germany 1 0 france gerfra fifa joinin   *
5_51,0,*                                              france 0 1 germany fra vs ger goal hummels                                             * * if germany want to win this game they need another goal now before france to break the french spirit or i think they ll lose frager *
5_52,0,* germany are ahead over france overall yet they played well combine to france thats why they successed got a goal ger 1 0 fra 60minute * *                        es lebe deutschland but i really hope france to win the game watching france vs germany                        *
5_53,0,* worldcup2014 first quarter final germany leading 1 0 against france goal scored by hummels approaching the end of the first half * *                            40 debuchy fouls howedes kroos free kick cleared away fra 0 1 ger worldcup                            *
5_54,0,* is listening to the fifaworldcup game france vs germany present score is fra 0 ger 1 worldcup soccer football ff * *  fravsger france must improve playing style otherwise my prediction germany will win 2 0 worldcup worldcup2014   *
5_55,0,* fravsger watching france germany worldcup2014 brazil2014worldcup on espn2 score 0 1 germany ahead near end of 1st half * *        fifa worldcup 42 karim benzema fra fires a shot on target but the ball was blocked by hummels ger frager        *
5_56,0,*                     germany leads france 1 0 with the goal by hummels at 13 fra 0 1 ger frager worldcup2014                      * * this germany v france game is reallly giving me anxiety i love the french but my wifey is german idkk guess either way i win lol *
5_57,1,*    fifa worldcup 44 karim benzema fra again threatened to score but couldn t get past ger keeper neuer germany 1 0 france frager     * * happy 4th of july from the americans in france good luck to the french team playing against germany in the world cup we hope you win *
5_58,1,*                 half time france germany 0 1 frager worldcup quarterfinal fra vs ger                * * ht playing a stronger half germany leads france 1 0 german goal c o mats hummels in the 13th minute *
5_59,1,*                             half time france fra 0 1 germany ger m hummels 13 worldcup                            * * ht france 0 1 germany hummels goal the difference at the break good chances for fra to equalise worldcup fravsger *
5_6,1,* luking forward to a great game between ger fra really want france to win but my inner man says it s germany s win * *          going to watch the full match of this world cup for the first time nowwatching france vs germany         *
5_60,1,* 1st quater final germany v france half time ger 1 hummels fra 0 gervfra fifaworldcup fwc14 * *   ht france 0 1 germany worldcup2014 worldcup sbsworldcup francevsgermany frager fra ger   *
5_61,1,*                              worldcup 1st quarter final half time germany 1 0 france matt hummels ger fra                              * * ht france 0 1 germany the germans leading through a header from hummels france just unable to get the ball pass neuer fra ger worldcup *
5_62,1,*           france 0 1 germany half time i hope they win i have a bet on deutschland worldcup worldcup2014           * * germany misses mertesacker france have been a bit better but hummels scored a really important goal ht fra 0 1 ger *
5_63,1,*    half time germanyvsfrance fra 0 1 ger worldcup2014 worldcup fifaworldcupbrazil fifaworldcup germany france worldcupquarterfinals    * * ht france 0 1 germany hummels header edges it for germany both teams look great but germany are playing at a good pace worldcup frager *
5_64,1,*                half time france 0 1 germany yeah germany will win thanks hummels worldcup frager                 * * ht fra 0 1 ger mats hummels powerful header after 12 mins gives germany the lead bbcworldcup brazil2014 worldcup *
5_65,1,* germany leads france 1 0 at halftime best half of the tournament by far only allowing them to take one good shot on goal tor hummels * *                    fun fact ger is 19 2 1 all time when leading at half what s fra record 0 10 worldcup gervsfra                     *
5_66,1,*                           world cup fever its half time france 0 germany 1 hummels                           * * ger vs fra the 1st half comes to an end ger leads by 1 0 revenge to my nigeria germany worldcup2014 worldcup *
5_67,1,*   half time germany go in 1 0 up thanks to mats hummels not sue if france make a comeback worldcup fravsger    * * the game will end 2 1 germany will score another goal and france will score via a penalty ger fra worldcup2014 *
