ID,EventType,Content
4_0,0,*                algeria has never lost to germany winning at the 1982 world cup in a 1964 friendly alg ger                * * i m supporting alg algeria s fans cheer prior to the round of 16 match brazil2014 gervsalg ger alg worldcup2014 worldcup *
4_1,0,*         worldcup algeria vs germany i hope wish pray that algeria will win 1 2 3 viva algerie watching germany vs algeria         * * only african team to beat germany at the worldcup is alg in 1982 algeria has won both meetings the other a 1964 friendly gervsalg *
4_10,1,*                       algeria please win against germany so you can go on to kick france s ass alg ger                      * * a few minutes later begins a duel between germany ger alg algeria watch it brasil2014 worldcup чм2014 football worldcup2014 *
4_100,1,* germany is always falling n whining all the time algeria deserves to win this game i hope that by voicing it they won t lose by my fault * *                either neuer s going to get red carded and al jazeera get a penalty or germany s going to win 1 0 ger alg                 *
4_101,1,* well algeria certainly haven t played like the unterhundes but you just know germany will score in the final moments fussball * *                    algeria want to win this game more than germany idc they creating chances after chances                    *
4_102,1,* algeria definitely deserve to win this match but i ve also got a coupon to win so germany better up their game alg ger * *         final ball every time algeria running out of chances a late german goal to break hearts i feel ger alg         *
4_103,0,* algeria is playing really well v germany this might go into extra time good game worldcup2014 at work notworking lol * *                           if algeria can score one more goal than germany they ll win this                           *
4_104,0,* a real interesting game so far germany are my team but algeria are making a good fight of it worldcup ger alg * *             algeria must win this match i don t care who germany is alg is playing far way better             *
4_105,0,* you know this is gonna be one of those games where algeria deserve to win but germany will nick it 1 0 in the last 5 ger alg * *  germany have had so many chances how they haven t scored yet is worrying algeria really playing well here though gervsalg   *
4_106,0,*     ger 0 0 alg 81 of 90 played worldcup2014 worldcup excellent save from algeria keeper and then cleared for corner by them    * * need over 2 5 goals and germany win in this game but that s not gonna happen so hope it goes to pens now and algeria win geralg *
4_107,1,* algerias goalie has been a bit of a moggy in the games i ve seen too neuer is a proper sweeper keeper though alg ger * *              algeria have been the better team but germany will score a late goal or win in extra time               *
4_108,1,* got the feeling germany will score soon algeria have missed too much chances to win the game * *           what a brilliant 0 0 game ger alg algeria are playing well worldcup2014            *
4_109,1,*             we all know germany are going to win this no matyer how good algeria play for the rest of the game            * * muller from hero to villain karma of portugal game ger geralg germany algerie worldcup2014 worldcup coupedumonde gervsalg *
4_11,1,*            i actually really hope algeria wins but germany is so damn good ger alg müeller            * * going to watch the germany algeria game tomorrow morning just no energy today face in pillow time now *
4_110,0,*                     should algeria win this match germany will rue these late chances worldcup gervsalg ger alg                     * * the algerian goal keeper is a legend it is germany v algeria 82 minutes played so far what a game my fellow africans are doing well *
4_111,0,* i completely dominated a game of fifa14 today similar to the way germany are right now algeria score in the last minute and win 1 0 * *                    ger 0 0 alg 84 of 90 played worldcup2014 worldcup away for a corner algeria slept for a second                   *
4_112,0,*      hope germany win the game so they ll face france in quarters final but see how they play against algeria right now gervsalg      * * this is the most exciting 0 0 i ve seen in ages algeria need to score soon though as you know that germany can get a late one ger alg *
4_113,0,*              gervsalg alg vs ger 0 0 its free kick for germany algeria showing good defence till now worldcup worldcup2014              * * watching the 2nd half of the germany vs algeria game will give you a clear explanation of why an african team will not win the worldcup *
4_114,1,*                                         fucking loooool at germany free kick lol muller                                          * * what a fight algeria have given germany win or lose can be proud of what they ve achieved at this world cup alg ger worldcup2014 *
4_115,1,* germany deserve to go out after that muller free kick ger alg worldcup2014 * *  neuer s playing so well as a sweeper tonight saved germany so many times  *
4_116,1,* well done algeria every game i ve seen you play you have been a problem to other teams germany met their match today win lose or draw * *   damn germany s goalie is like an extra defender how many times did he come out and saved a potential goal wow ger vs alg worldcup   *
4_117,0,* which keeper is man of the match so far algeria s for key saves or neuer for his play and being germany s best outfield player haha * *     ger v alg great game willing a goal for algeria although i just know the germans are going to score alwaysdo sohopeiamwrong     *
4_118,1,*                 germany will win this in extra time well played algeria tho                  * * neuer saving germany playing as a libero this game smells like ot pks worldcup2014 ger v alg *
4_119,0,* gervsalg alg vs ger 0 0 4 additional extra minutes algeria giving real hard time to germany worldcup worldcup2014 * * if this goes into penalties i honestly don t know who d win cos germany are good team but algeria s keeper is wkd *
4_12,0,* algeria victory over germany in 1982 was the first ever win by an african team over a european nation at the world cup gervsalg brazil2014 * *                              watching now match from ger vs alg at the worldcup good luck germany go germany                               *
4_120,1,*  after 90 minutes germany algeria 0 0 extra time it is geralg worldcup last16 ger vs alg  * * algeria deserves to win they ve played as a whole better than germany throughout the game *
4_121,1,* gervsalg no goal in 90 minutes between germany vs algeria worldcup2014 ger 0 0 alg extra time now * *      this is actually a good game algeria playing well i expected a whitewash win for germany     *
4_122,1,* ft ger 0 0 alg algeria goalkeeper m bolhi shines as the game goes to extra time worldcup brazil2014 germany worldcup2014 * *       algeria takes germany to extra time well played algerian goal keeper just not allow german to score gervsalg       *
4_123,1,*       ft germany 0 0 algeria we will be having extra time as neither team could find a goal in the 90 minutes ger alg worldcup      * * germany v algeria this game so far is the definition of a good nil nil any team could win it worldcup2014 exciting and entertaining *
4_124,1,* as much as i want algeria to win this game they re not build for extra time i can see germany scoring 2 3 goals you know * *                   full time at the estadio beira rio germany 0 0 algeria it goes to extra time ger alg                   *
4_125,0,* how algeria is hanging on is just amazing germany will win this 2 0 in the extra time gervsalg worldcup worldcup2014 * *  fantastic play from algeria giving germany a game goalless at half time extra time next alg ger worldcup2014brazil  *
4_126,1,* first extra time kock off germany 0 0 algeria geralg ger alg worldcup worldcup14 worldcup2014 fifaworldcup * *          germany algeria the match has been very interesting so far i hope algeria win this game           *
4_127,1,*                      after 90 minutes germany algeria 0 0 extra time it is geralg worldcup last16 ger vs alg                       * * this is the best goal less match of this worldcup so far algeria is playing far better than germany they deserve this win gervsalg *
4_128,0,*               goal schurrle scores early in to extra time to put germany in front ger 1 0 alg               * * germany have only ever missed 1 penalty in a worldcup shoutout algeria need to win this match in extra time *
4_129,1,* andre schurrleeeee barely 2 minutes in to extra time and germany have struck a side heel goal into the back of the net ger 1 alg 0 * *              90 minutes without a goal 90 seconds into extra time germany scores wow brazil2014 gervsalg worldcup2014              *
4_13,0,*      ger vs alg i like both ill be happy for both but it will be a great achievement if an arab team like algeria win on germany __      * * algeria are playing with germany algeria won over germany 2 times before but don t know about todays match worldcup2014 germanyvsalgeria *
4_130,1,*                      germany scores 2 minutes into extra time wow 1 0 germany goal by schurrle                      * * gervsalg alg vs ger 0 1 can t say it a gaol but bad luck for algeria or good luck for germany worldcup worldcup2014 *
4_131,1,* it only took extra time to get the first goal germany 1 0 algeria andre schurle muller with the assist worldcup gervsalg * *       germany finally with the breakthrough schurrle scores early in extra time from a low cross by muller ger alg       *
4_132,1,*  schurrle just scored a heel kick goal that s was super sick germany 1 algeria 0 in extra time  * * only 1 goal in 92 mins is terrible germany especially against algeria gervsalg ger alg worldcup *
4_133,1,* a whole 90 minutes algeria had germany couldn t score but concede a goal in extra time yuh dont let teams like that score in extra time * *     ger 1 0 alg schürrle 92 germany had not scored in extra time of a world cup match since the unforgettable 3 3 vs france in 1982     *
4_134,1,* schuerrle scored the go ahead goal for germany at 92 2 of extra time to take 1 0 lead over algeria worldcup rgv soccer futbol * *  if germany do end up winning bring on the algeria won our hearts tweets hahaha no doubt they ve played well thus far though  *
4_135,1,*                   finally germany scores in 90 seconds of extra time so score is germany 1 0 algeria worldcup gervsalg                  * * if you thought algeria had a chance of winning you must be mad idk if you ve watched a world cup before this one but germany don t lose *
4_136,0,*    the first goal for the german team andre horlah 94 minutes algeria 0 1 germany worldcup ger alg    * * algeria deserves a goal actually i want germany to work hard for this score a second to really win it *
4_137,0,*           andre schurrle scores in 92 to give germany 1 0 lead over algeria in extra time geralg worldcup           * * algeria definitely don t deserve to be losing this game they ve played better than germany without a doubt cmonlads *
4_138,1,* great game by algeria so far really hope they win on germany or even tie for now as pay back for 82 worldcup * *    algeria with a great chance but not on target can t score goals if you don t put your shots on target     *
4_139,1,*                           germany with 26 shots and algeria with 8 ya germany doesn t deserve this win                           * * usa team versus germany back then hell loads crappier but this one is an impressive game eventho algeria hasnt scored a goal yet *
4_14,0,*       ger v alg i can t see anything other than a germany win tonight just hope algeria make a game of it worldcup2014       * * hahaha poor algeria d but i want you to know that i m with your team guys good luck ger 0 0 alg worldcup brasil2014 gervsalg *
4_140,0,* germany has 26 shots to algeria s 8 the score is still just 1 0 in the 105th minute of the game alg played well idk what else to say * *        like mexico couple days ago algeria don t deserve to lose this game if germany does win i fancy france in the quarters        *
4_141,0,* germany just wanted us all to suffer by scoring that goal in the 91st then just playing out extra time algeria has nothing left * *              if germany wins this game they don t deserve it algeria had their chances early to put this game away              *
4_142,1,*                          half time extra time germany algeria 1 0 geralg worldcup last16 ger vs alg                          * * i admit algeria played a lot better than germany today but that doesn t mean they deserve to win this game more than germany *
4_143,1,*             first half of extra time is done 15 more minutes to go germany lead algeria 1 0 ger alg              * * final score ger 1 0 alg 1st extra time goal for germany since 1982 worldcup brazil2014 gervsalg germanyvsalgeria *
4_144,1,*     half time of extra time germany 1 0 algeria ger 1 0 alg geralg worldcup worldcup14 worldcup2014 wc2014 wm2014 fifaworldcup     * * ht of extra time ger 1 alg 0 schurrle s brilliant goal has germany 15 minutes away from yet another worldcup quarterfinal gervsalg *
4_145,1,* kick off second half extra time germany algeria 1 0 geralg worldcup last16 ger vs alg * *      ger has the 1 0 lead in extra time algeria has 15 minutes to score force pks     *
4_146,0,* germany 1 0 algeria after 1st extra time of play germany scored early in extra time 2nd extra time begins if algeria ties onto penalties * *           the second half of the extra time kicks off now ger 1 0 alg buffworldcup brasil2014 worldcup worldcup2014 dubai uae            *
4_147,0,* 106 yellow card for philip lahm ger ger 1 0 alg geralg worldcup worldcup14 worldcup2014 wc2014 wm wm2014 fifaworldcup * *                      haha 1 min in extra time germany scores but algeria are playing a good game                      *
4_148,0,* ht of extra time ger 1 alg 0 schurrle s brilliant goal has germany 15 minutes away from yet another worldcup quarterfinal gervsalg * *                         algeria deserves to win germany playing dirty now really pulling down shorts gtfo                          *
4_149,0,* france beat nigeria 2 0 earlier today to progress to the last 8 germany currently lead algeria 1 0 with 12 mins left to play of extra time * * germans doing theyre best to slow the game and stop algeria from scoring by pulling on their shorts its like germany is the underdog here  *
4_15,0,*                algeria players fasting big respects however germany should win this with ease 5 0 worldcup2014                 * * ger vs alg is away the germans are one of the favorites to lift the cup but do algeria have an upset in them worldcup gervsalg *
4_150,0,* i reallly want algeria to win 1 cuz i hate germany 2 cuz these guys are fasting and playing this game like they deserve it * *                         come algeria score a goal and beat germany at there own game on penalties                          *
4_151,0,*                      pls keep it 1 0 if germany s going to win algeria doesn t deserve a 2 0 ok                      * * germany in extra time w algeria i give teams like alg chi plenty of credit for pushing ger bra respectively worldcup *
4_152,0,*     win or lose algeria deserves a tremendous amount of respect for putting up such a great game against germany gervsalg      * * algeria have been mad this world cup great team to watch hopefully they get a goal here if not i still enjoyed them anyway alg *
4_153,0,* as much as i like germany algeria deserves to win this match because they ve been playing amazing the whole game * * as much as i want algeria to score i don t think i can handle everyone chuckling about german penalties ger alg  *
4_154,0,*                algeria played better than germany all the game she deserve to win               * * ger 1 0 alg 113 of 120 played worldcup2014 worldcup well played algeria you took germans to 120 *
4_155,0,*  win or lose algeria deserves a tremendous amount of respect for putting up such a great game against germany gervsalg worldcup  * * german is going to win the match but algeria is going to win the hearts of millions around the world ger alg geralg worldcup2014 *
4_156,0,*           6 minutes for algeria to breathe on germany with ramadan breath score two goals play france in the next round alg ger            * * i got mad respect for algeria although their fasting they still manage to play a great game and now extra time win or lose there champions *
