ID,EventType,Content
1_0,0,*    the last time brazil played germany in the worldcup was 2002 i won a car for predicting a brazilian win tonight it s ger all d way   * * anyways i love both countries germany is my home town n brazil is in my blood so let s hope will be good game let s go football bra ger *
1_1,0,*                                          sorry brazil germany wins ger 3 bra 1                                           * * fifa world cup 2014 semi finals 1 is about to start brazil v germany what s your predictions worldcup2014 brazil germany *
1_10,1,*    we will miss the usa today but good luck to brazil and germany on today s worldcup game may the best team win fifa2014    * * excited for this game to kick off hoping for a bra win but predicting a 1 0 to ger lets have it worldcup2014 brazilvsgermany *
1_100,1,*               bra 0 6 ger 74 germany is the first team to score six goals vs brazil in world cup history               * * i had germany to win this game for sure strong team playing brazil w o neymar just didn t expect it to be this bad lol *
1_101,1,*     alg bra alg 1 2 ger in 120 min germany scores five goals in first 30 minutes to stun brazil ger 6 0 bra     * * a lot of brazil fans thought they d win their 6th worldcup instead they ve conceded 6 goals to germany bravsger *
1_102,0,*                                finally this germany team spell brazil with goals fifa world cup 2014 6 0                                * * it s not even a fun game to watch it s like i know germany will win but i m so sad for brazil i just feel so bad for them i m gonna cry *
1_103,0,*     germany scored as many goals in 30 minutes against brazil than england have in their last 6 world cup games ger eng      * * idk what s more sad spain being the first team to leave the cup this year or brazil losing 6 0 to germany in the semi finals *
1_104,1,* brazil vs germany score 0 6 is reminding me of our mini world cup at i day thisb year at camp lago del bosce against lac du bois 0 7 * *                        just to recap you re watching brazil s worst defeat in 94 years worldcup2014 bravsger                         *
1_105,1,* 7 0 germany american football score the german up 1 touchdown and the extra point worst game for brazil ever * *                                    goal germany 7 0 wow bra ger worldcup                                     *
1_106,1,* 7th goal omg what happened to brazil so bad no more comment brazil 0 germany 7 feeling shocked * *         brazil is playing like virgins they just can t score ger 7 0 bra worldcup2014          *
1_107,1,*                      brazil vs germany goal andre schurrle germany scores match minute 79 bra 0 7 ger worldcup                      * * bra 0 7 ger worldcup2014 bravsger brazil to concede it s worst world cup defeat ever 10 min more to end this horror show by germany *
1_108,1,* bra 0 7 ger ohmygod how can deutschland lose the finale after this germany brazil sink worldcup worldcup2014 oulala omg * *                  going into this game germany had scored 10 goals in five games same as brazil worldcup                 *
1_109,1,* worldcup we need at least 2 from germany i m sure brazil is willing to give more goals ger 7 0 bra gervsbra ssfootball sllive * *              brazil fans cheering german players every time they make a pass total humiliation for brazilian team             *
1_11,1,*           i want germany to win but at the same time ughh it d be so cool if brazil won ger bra worldcup          * * i wish brazil wins buh i think germany has a better team today fifa world cup 2014 worldcup2014 bravsger gervsbra *
1_110,1,*         germany becomes 1st team to score 5 goals in 1st 29 minutes of world cup game leads brazil at half 5 0 espn          * * ger bra germany brazil 7 0 playing on playstation brasil bravger bravsger fifaworldcup fifaworldcupbrazil semifinal worldcup *
1_111,1,* 7 0 79 mins germany goal andre schurrle again has scored to make it 7 could anyone have predicted this brazil 0 7 germany worldcup * *                    so germany is beating brazil 7 0 in the 2014 fifa world cup semi finals in brazil oh ger bra                    *
1_112,1,* germany made history by scoreing 7 goals in semi finals brazil made history by playing the worst game in the world cup since 54 * *      7 0 i m not even watching but i guess germany fucked brazil hard 0_o worldcup2014 crazyshit no one seen that coming _      *
1_113,0,* germany futbol soccer brazil world cup 2014 ball goal kick save fans cry win lose game goooooal * *       germany job well done brazil doesn t deserve to play semi finals brazilvsgermany 0 7      *
1_114,0,*   i love how espn had to scroll the names of goal scorers in the worldcup germany brazil game 7 0 a true football score    * * i can t even win 7 0 on fifa germany are winning 7 0 against brazil in their own country in the world cup semi final crazy *
1_115,1,*  brazil 0 and germany 7 this is not a rugby score semi finals of the world cup germany has not scored a try but scored 7 goals lol   * * if you re watching the germany brazil game just a friendly reminder that germany usa ended 2 1 worldcup2014 brazilvsgermany bravsger *
1_116,1,*                                            finally brazil scored a goal by oscar ger 7 1 bra                                            * * people be saying they don t feel bad for brazil cause they ve won 5 times but germany has played the most games in the world cup finals *
1_117,1,*                  aaaaaaaaaaaaaand oscar scores brazil are almost through to the final just 7 more goals bra 1 ger 7                 * * brazil scores five goals in fastest time 29 minutes to make worldcup2014 history germany serves brazil worse defeat 7 1 in 70 years *
1_118,1,*       brazil scores the consolation goal against the giant germany worldcup2014 final score bra 1 7 ger       * * well chelsea player oscar tried to redeem brazil s dented image bra 1 7 ger 90 minutes played worldcup brazil *
1_119,1,*           finally a soccer game when goals are scored and i couldn t watch it germany 7 brazil 1 worldcup2014           * * fulltime bra 1 7 ger germany will play either argentina or the netherlands in the world cup final worldcup2014 bravsger *
1_12,1,*         is it bad i want germany to win i think brazil doesn t deserve to win this world cup sorrynotsorry bra ger worldcup          * * semi final time we ll be tuning in to see if brazil can beat germany without neymar where will you be watching worldcup2014 bravsger *
1_120,1,*                           that was something well germany win 7 1 to brazil ger bra germany in the final                          * * even tho i m happy for germany i feel bad for the players brazil is an amazing team even if tonight s game wasn t in their favour *
