Timestamp,Content,ID
1,*         get ready ghana because germany is on your way germanyvsghana worldcup2014 ger vs gha who will win         * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ghana plz win take it have it *,6_0
2,* germany my fav team in world cup hope they ll win the game vs ghana so they ll qualified to next round amin ger gha * *                 i m following germany versus ghana in the fifa global stadium gergha worldcup joinin                *,6_1
3,*   kick off in minutes come on team germany my prediction ger 3 1 gha worldcup2014    * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin *,6_2
4,*      800th fifa world cup game battle of brothers it s germany vs ghana what should i expect worldcup ger vs gha gergha     * * they must have some proud parents jerome boateng ger kevin prince boateng gha will face off in the worldcup gervsgha mmlove *,6_3
5,*         time for ger vs gha usa keeping a close eye on this game preferably a ghana win or draw but a germany win wouldn t hurt         * * this is d 1st time brothers would be playing against each other in a world cup game kevin prince and jerome boateng fansconnect gha ger *,6_4
6,*                germany for the win germany ger vs gha ghana worldcup worldcup2014 fifaworldcup fifa football hashtag                 * * the 2010 meeting was the 1st wc match to feat brothers on opposite teams w ger s jérôme gha s kevin prince boateng facing each other *,6_5
7,*                                    nw ger gha gergha germany ghana germanyvsghana worldcup2014                                     * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin tall order for gha but have to win blatterout *,6_6
8,*      watching germany ghana while on my laptop cause that s how i roll gha ger germanyvsghana gervsgha worldcup worldcup2014       * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin love hearing germany belt the national anthem *,6_7
9,* ger vs gha going to be a sick match i reckon 4 2 to ger gervsgha worldcup worldcup2014 germany ghana * *  two brothers bonded by blood separated by nation kevin prince boateng vs jerome boateng gha vs ger  *,6_8
10,* alemania vs ghana ger vs gha jerome boateng and kevin prince boateng brothers face each other in a world cup consecutively worldcup2014 * *                                germany 3 1 ghana worldcup kroos ozil schurrle gyan my prediction ger gha                                *,6_9
11,*                                  kick off germany vs ghana ger gha worldcup worldcup2014                                  * * the boateng half brothers facing each other in the ger jerome v gha kevin prince match must be an awkward moment for both *,6_10
12,*      i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ger 3 0 gha     * * sibling rivalry jerome vs kevin prince boateng vs boateng rematch gergha gervsgha ger vs gha worldcup2014 *,6_11
13,*    the 800th worldcup game is under way between germany ghana this should be a wonderful match ger gha fb    * * my stand till the end going with the best of the best germany wins by 2 1 ger vs gha worldcup2014 ssfootball *,6_12
14,* jerome boateng plays for germany ger and kevin prince boateng plays for ghana gha they re brothers woah ghanavsgermany * *        i m following germany versus ghana in the fifa global stadium gergha worldcup joinin team ghana team god        *,6_13
15,*                    boateng brother s jerome boateng in germany and kevin prince boateng in ghana ger vs gha                   * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin busy busy in these times if fifaworldcup *,6_14
16,* if israel were to play against germany i would probably support it go ghana ghanavsgermany ger gha worldcup2014 arablogic * *          that awkward moment when u saw same name boateng played in two different team ger gha gervsgha worldcup          *,6_15
17,* this ger vs gha game has major implications for usa moving forward in the cup a germany tie or win best scenarios * *                i m following germany versus ghana in the fifa global stadium gergha worldcup joinin               *,6_16
18,*                        germany ger vs gha ghana im going 2 0 to the germans but shit that was close for gyan                         * * two brothers going against each other kevin prince boateng ghana jerome boateng germany all with love gervsgha worldcup worldcup2014 *,6_17
19,*                 the game begins 28 fifa fifa2014 worldcup ger gha watching germany vs ghana                  * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin germany will be won 2 0 *,6_18
20,*                                         ger vs gha germany worldcup worldcup2014 fifa                                          * * having lived in ger as a kid i m rooting for them to beat gha in this worldcup game the fact it can help the usa is a bonus fb *,6_19
21,*                                    germany vs ghana ger gha worldcup                                     * * who s watching the game with us are you team ger or team gha worldcup2014 largestsportsbar 180tvs beerme *,6_20
22,*                              1st half is game on germany vs ghana worldcup ger gha                              * * i m supporting germany in the fifa global stadium gergha go germany win it for my home country ger worldcup2014 *,6_21
23,* germany vs ghana now ger 0 0 gha i don t know who to cheer but still watching it worldcup worldcup2014 worldcup2014brazil * *                   i m rooting for gha today go black stars but ger is top notch so may the best team win                  *,6_22
24,* ger vs gha i m pulling for ghana but this is the game they feared most i believe they will win tho gervsgha worldcup worldcup2014 * *          germany are dominating but it s ghana with the better chances atsu forces a decent save out of neuer ger 0 0 gha         *,6_23
25,* 10 ozil tries to spring muller into ghana s area but dauda does well to come out and take the ball ger 0 0 gha worldcup letsgoalghana * *    watching the ger vs gha game and wondering who to root for germans produce better techno ghanians have better hair worldcup2014    *,6_24
26,*       some great attacks by gha against ger game on people come on ger buck up 15 mins gone score 0 0 worldcup2014 worldcup       * * ghana vs germany both very good football teams this is going to be a great game worldcup worldcup2014 fifaworldcup germanyvsghana *,6_25
27,*                                   worldcup score update germany 0 0 ghana after 16mins gergha ger gha                                    * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ghana seems 2 b in attacking mood wl b a good match *,6_26
28,* brothers war ghana s number nine kevin boateng germany s number twenty jerome boateng who will win it ger gha * *         i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ghava1 0         *,6_27
29,*                             good save worldcup worldcup2014 ger gha gervsgha blackstars ghana                             * * germany looking so much like spain last world cup could be crown winners this time round worldcup2014 ger gergha worldcup *,6_28
30,*              i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ger gha             * * love this passing game by ger but gha is also playing well will be a great game but no easy match by far worldcup2014 *,6_29
31,* the ger passing is incredibly good gha playing great defense but it s a matter of time before germans sneak one in gervsgha worldcup * * i m following germany versus ghana in the fifa global stadium gergha worldcup joinin waiting this pizza taking forever powerthrough  *,6_30
32,* boateng v boateng this is a tough one ghana are the only world cup team i ve ever seen live but i do love germany worldcup2014 gha ger * *                     ozil drawing in the defenders and plays a through ball to muller who can t convert ger 0 0 gha                     *,6_31
33,* in last 20 matches that germany played internationally its team scored 58 goals fact ger gha fifa fifaworldcup * *            i m following germany versus ghana in the fifa global stadium gergha worldcup joinin ger            *,6_32
34,* özil on the right flank is dangerous for ghana if asamoah gets caught too far forward germany will exploit that gergha gervsgha ger gha * *          i m following germany versus ghana in the fifa global stadium gergha worldcup joinin bc my tv isnt working go germany          *,6_33
35,* natural inclination is to root for gha vs ger but honestly doesn t a germany win help usa anybody bueller worldcup usmnt * *                   i m following germany versus ghana in the fifa global stadium gergha worldcup joinin                   *,6_34
36,*                   come on black starts worldcup worldcup2014 ger gha gervsgha blackstars ghana                  * * patient game or lethargic buildup play either way the heat isn t helping with the tempo ger gha worldcup gergha *,6_35
37,*       i m following germany versus ghana in the fifa global stadium gergha worldcup joinin germany will win 2 0       * * how good are those flags when you do this eng brz mex arg esp usa fra uru crc ger net gha kor irn ita bos nga por rus *,6_36
