Timestamp,Content,ID
1,* the srb serbia ger germany game is about to start i need to get everyone to stop twittering don t wanna get distracted worldcup * *                    today s pic ger 3 ser 1 3usa 1 svn 1 and eng 2 alg 0 i m probly rong on all three worldcup                   *,16_0
2,*      palpites pra hoje ger 3 x 1 srb svn 1 x 2 usa e eng 2 x 0 alg torcendo pra alemanha estados unidos e argã lia xd worldcup      * * will not be near a tv for the ger germany vs srb serbia game any tweeps watching the game pleeeeease keep us updated worldcup wtf x *,16_1
3,*                                        come on serbia pull one out of the bag and beat germany keep the group interesting ger vs srb worldcup fb                                        * * ã šã ï½ nhkã å ³æ ã ãƒšã œãƒ ãƒ ãƒ³ã ¹ã ã ã ã è èª é ã ã œèª æ ä ã ã äº ã ã ã ã ã ã ã ã ã ï¼ÿã ã ã è šã ã ã ã ÿã žï½ ï½ ï½ ã ã ƒã wæ æœ å¾œã è å ˆã ¾ã èª æ ã ã ã ã ã ï½ ï½ ï½ worldcup *,16_2
4,* worldcup live ger team germany 1 manuel neuer 16 philipp lahm c 17 per mertesacker 3 arne friedrich 14 holger badstuber * *     worldcup hi arg aus bra chi civ cmr den eng esp fra ger gre hon ita jpn kor mex ned nga par por prk rsa srb usa     *,16_3
5,*        worldcup group d ger 1 0 v srb 0 1 kick off is shortly at 9 30pm aest result will be interesting for aus       * * worldcup live srb team serbia 1 vladimir stojkovic 6 branislav ivanovic 5 nemanja vidic 20 neven subotic 3 aleksandar *,16_4
6,* hmm time to use the germany v serbia match to gauge how royally screwed we are worldcup ger srb aus  * * worldcup predictions today not that they will happen or anything ger 3 0 srb svn 2 2 usa eng 2 0 alg *,16_5
7,*                                                   watching ger vs srb game which i hope will be entertaining germany will win but the question is by how much worldcup                                                   * * ã ã ã 27ï¼š30ã ã ã ã ãƒ³ã ãƒ ãƒ³ãƒ æˆ è ³ã ÿã ï¼ ãƒ½ ï½ â â ã ªã ã ãƒ¼chã ªã è ³ã ã œã ã ï¼ ï¼ÿ ãƒœã ã ã ã ã ã šã ãƒ³ã ãƒ ãƒ³ãƒ ã œå ½ã ã ï¼ ã ãƒ³ã ãƒ ãƒ³ãƒ æœ é ï¼ ãƒ ãƒƒã ãƒ æœ é ï¼ ãƒ ãƒ ãƒ ã ã ãƒ ã ãƒ æˆ å ã ¾ã ã *,16_6
8,* listening watching to the chris moyles alternative commentary for the ger germany vs srb worldcup whatâ s happening game awesome * *                    meus palpites para os jogos de hoje da worldcup ger 2 x 1 ser slo 1 x 3 usa eng 5 x 0 alg                     *,16_7
9,*                         fifa world cup ger germany vs srb serbia who do you think is going to win worldcup                         * * ger versus ser jabulani voadora tã em campo quem chuta mais devagar acerta melhor goleiro esperto dã soco e ã tenta pegar worldcup *,16_8
10,*               meus palpites para os jogos de hoje da worldcup ger 2 x 1 srb svn 1 x 3 usa eng 5 x 0 alg                * * watching the germany vs serbia game before i get ready if i had money i d put it on germany scoring 3 or more worldcup *,16_9
11,* today s predictions ger germany 5 srb serbia 1 usa united states 2 svn slovenia 0 eng england 3 alg algeria 0 worldcup * *                    6 28 am del viernes 18 de junio empieza la fiebre de la worldcup con ger vs ser                     *,16_10
12,*                          up early watching the worldcup with daddy he loves soccer np ger germany vs srb                          * * good morning are you ready for the usa v slovenia match i am except we have to get thro some germany v serbia game first worldcup *,16_11
