Timestamp,Content,ID
1,*       sorry for no predictions for the 5pm games going for ivory coast 2 0 greece colombia 1 1 japan tonight 2014worldcup       * * civ vs col gre vs jpn it would be interesting if greece win sby 3 or japan by 1 and the other match ends in a draw worldcup2014 *,9_0
2,* japan v colombia world cup 2014 live world cup group c updates live from cuiabáfollow greece v ivory coast live here interactive * *           drogba is starting for my elephants today hopefully we can see some nice goals and a win for ivory coast civ           *,9_1
3,* time for col vs jpn and gre vs civ it would take a blowout loss for colombia not to win group ivory coast advances with win draw * *                   so im watching colombia v japan let me know what s going on in ivory coast v greece worldcup                   *,9_2
4,*            i really hope japan can win this match and greece hold off ivory coast            * * gone for a ivory coast and colombia double gutted bony isnt started love drogba tho worldcup *,9_3
5,* greece v ivory coast colombia v japan greece and japan need to win ivory coast need to a draw colombia to gurantee top spot need a draw * *              fuckin didier drogba is captain and finally starting bout time ivory coast civ worldcup2014 greecevsivorycoast             *,9_4
6,*     i think ivory coast will win colombia v japan will finish a draw i think civ v gre col v jpn    * * time for the final games in group 9 which sees japan vs colombia greece vs ivory coast worldcup2014 *,9_5
7,*                          predictions for gre vs civ jpn vs col we think greece 1 2 ivory coast japan 1 1 columbia                          * * i m hoping ivory coast win this for the toure brothers the commentators are hoping greece lose so they don t have to remember the surnames *,9_6
8,* although my sweepstake team is greece want ivory coast to win this for the strength and commitment of the toure brothers rip worldcup * *            current group c standings 1 col 6 points gd 4 2 civ 3 points gd 0 3 jpn 1 point gd 1 4 gre 1 point gd 4 worldcup           *,9_7
9,* if greece can somehow win against ivory coast and have columbia defeat japan then greece will move on to the knockout round gre believe * *         worldcup group c is wide open col can win group with a draw civ can advance with a win gre and jpn need to win and help         *,9_8
10,*                        ivory coast v greece and japan v colombia now worldcup2014 civ gre jpn col                       * * my bets for the game columbia ivory coast double yaya toure highest rated drogba first goal 2 0 columbia cmom wcbashing *,9_9
11,* ivory coast greece is underway big game for civ we re go in the other game in this group colombia japan two big games enjoy wc14 * *                 group c the matches kick off jpn 0 0 col gre 0 0 civ 0 30 first half time worldcup2014 worldcup                  *,9_10
12,* predictions cir 2 0 gre col 2 0 jpn group c 1 colombia 9 q 2 ivory coast 6 q 3 japan 1 e 4 greece 1 e worldcup * *                        ivory coast greece is underway civ 0 gre 0 worldcup2014 worldcup                        *,9_11
13,*              nowwatching greece ivory coast japan colombia worldcup gre vs civ jpn vs col go japan              * * login now and win www t1t us vamos colombia askdemi moreofyou ivory coast bansuarez josh smith fries in chicago *,9_12
14,*     full time at worldcup2014 games england 0 costa rica 0 uruguay 1 italy 0 currently greece playing ivory coast and it s 0 0     * * my double for tonight btts and colombia to win btts and ivory coast to win 14 1 10 returns 150 who s on that in form at the moment *,9_13
15,* hope ivory coast and the toure brothers bring home a win against greece for their lost brother * *                gre civ jpn col worldcup worldcup2014 worldcup2014brazil wm2014                 *,9_14
16,* both these final group c games should be fun greece japan need wins have to open up against dangerous ivory coast colombia worldcup * *                   ivory coast advancement civ win over gre or civ tie to gre jpn 1 win over col civ 2 gs over jpn                   *,9_15
17,* i hope ivory coast win this game and go to the last 16 just for the fact of the toure brothers playing after losing their brother respect * *                world cup results day 13 group c greece ivory coast japan colombia group d costa rica england italy uruguay                *,9_16
18,*                          i ll say greece will win against ivory coast 2 0 and colombia beat japan 2 1                         * * mass respect to the toure brothers playing so soon after their brothers death really hoping ivory coast go through civ vs gre *,9_17
19,* columbia vs japan ivory coast vs greece it s weird how these 2 games will decide which 2 teams will qualify seeing as they all can * *              login now and win www takipcikazan com josh smith drogba ivory coast jpnvscol grevsciv askdemi 22uesday               *,9_18
20,* grevivc not sure who i want to win with sammy playing for greece the ivory coast keeping the tricolour flying even if wrong way round * *             prediction gre 0 2 civ and jpn 0 2 col but i m prepared for both matches to be pretty boring grevsciv jpnvscol            *,9_19
21,*                       what game should i watch colombia vs japan ivory coast vs greece                      * * good evening followers now playing worldcup2014 10 first half time group c jpn 0 0 col gre 0 0 civ worldcup *,9_20
22,* i think ivory coast deserve to win the world cup purely because serey die and the toure brothers have continued to play after their loses * *   i know ivory coast will do teamafrica proud but shots greece wanazo if you watched their game against colombia you know what am saying  *,9_21
23,* colombia have won group c but greece ivory coast japan can each all take 2nd making tonight more thrilling than adrian chiles fcumwc * *            11 subs greece are forced to make an early change as kone gives way to samaris gre vs civ kbcworldcup worldcup            *,9_22
24,* followers to win a site www naturalfollowers info greece vamos colombia askdemi grevsciv 22uesday jpnvscol ivory coast * *                   12 gre vs civ ivory coast continue threatening the greek goal kbcworldcup worldcup                   *,9_23
25,* real new 755 followers www getfreefollowers info greece josh smith 22uesday jpnvscol grevsciv ivory coast swaggy p * *             ivory coast goal keeper look a bit like tupac lol good save tho but don t do it again lol              *,9_24
26,*  more followers sites www t1t us vamos colombia askdemi josh smith grevsciv ivory coast swaggy p greece  * * once again i find myself trying to watch two games at one time it s a tough life col v jpn and gre v civ *,9_25
27,*            dad just text me not watching japan v colombia or greece v ivory coast you can only watch so much shit legend             * * when naija don dεγ wait na replay una wan watch supersporttv can ivory coast become the first african team through to the next round *,9_26
28,*                   16 greece 0 0 ivory coast japan 0 1 colombia worldcup                    * * score predictions japan 0 3 colombia greece 1 3 cote d ivoire jpn col gre civ worldcup2014 *,9_27
29,* japan is 1 0 in the hole against colombia japan will be gone unless they win ivory coast loses or ties * *      gre 0 0 civ col 1 0 jpn columbia and cote cote d ivoire ivory coast advance if results hold       *,9_28
30,* colombia has just scored on japan 1 0 if that score stands whoever wins between greece and ivory coast goes to the next round * *                    game 39 match 3 gre 0 civ 0 game 40 match 4 jpn 0 col 1 worldcup2014 worldcup2014brazil                    *,9_29
31,* watching both games the japan vs colombia which is hard to pick a side and the greece vs ivory coast game fifa fifaworldcup * *                                       20 score update gre 0 0 civ jpn 0 1 col worldcup                                      *,9_30
32,* this is colombia without falcao they re topping the group with maximum points after playing ivory coast japan and greece who just defend * *                 as it stands columbia top the group still and ivory coast qualify in 2nd col 9 points ivc 4 gre 2 jpn 1                  *,9_31
33,*   i like this japan team shame they re gonna go out like colombia are ridiculously good and im hoping ivory coast go through aswell   * * col up 1 0 vs jpn if results holds will win the group looks like that the second place of group c will be decided between civ and gre *,9_32
34,* 4 p m japan vs colombia espn 4 p m greece vs ivory coast at espn2 get a pizza and enjoy worldcup * *   22 gre vs civ the pass from yaya toure is too much for drogba to chase kbcworldcup worldcup    *,9_33
