ID,EventType,Content
7_0,0,*                     my predictions ned 1 1 chi aus 2 1 esp cro 3 2 mex cmr 0 5 bra                    * * the game today between chile and the netherlands will decide who tops group b worldcup2014 ned vs chi *
7_1,0,*                    my prediction for today worldcup games are these aus 1 2 esp ned 2 1 chi cmr 3 0 bra mex 1 1 cro                   * * going to be such a good game ned v chi lot of good players and winner wins the group and avoids bra in the next round all to play for *
7_10,1,* kick off the final round of matches in group b are underway netherlands face chile and spain play australia ned chi esp aus * *                       game on enjoy ned chi netherlands vs chile worldcup2014 worldcup outdoorsportcha                      *
7_100,0,* worldcup ned vs chi we need goals guys alexis deserve a goal he is playing so good looks like he and robben r z difference bwn zs two * *  worldcup worldcup2014 ned chi the game is getting a bit boring i think we should all wimbledon djokovic unless some actions in footy *
7_101,0,*         70mins ned 0 0 chi esp 2 0 aus villa and torres goal         * * worldcup2014 nedchi ned holandia 0 0 chile chi 70 silva valvidia chi *
7_102,1,*  74 robben fouled outside the box sneijder s free kick cleared for a corner ned 0 0 chi worldcup  * * goaaaaaaaaaal esp cm2014 gp b 73 match 3 3 ausesp et nedchi aus esp 0 2 ned chi 0 0 qf ned et chi *
7_103,1,*      kuyt s header from arjen robben s corner kick flashes wide in the 75th min ned 0 0 chi      * * worldcup2014 minute 75 ned vs chi fer in comes off the bench to replace sneijder out netherlands *
7_104,1,* goal netherlands 1 0 chile 77 leroy fer worldcup2014 groupb ned oranje chi laroja * *   77 minutes de jeu cm2014 worldcup wc2014 nedchi chi ned pays bas vs chili 1 0   *
7_105,1,*        goal for holland leroy fer with a free header six yards out scores with his first touch of the game ned 1 0 chi        * * 1 0 to ned vs chi chile netherlands brasil2014 twittboll vm2014 tv4vm nedchi worldcup riskeverything worldcup2014 wm2014 wc14 *
7_106,1,*      goal netherlands ned 1 0 chi leroy fer puts the dutch in front with his 1st touch since coming on nedchi worldcup       * * what a substitution fer brought in by ned and he opens the score with a good header ned 1 0 chi worldcup2014 worldcupatglued *
