Timestamp,Content
1,* my predictions for tonight france v nigeria 2 1 germany v algeria 4 0 mypredictions worldcup2014 * *       holland to win worldcup2014brazil but today i m hoping france beat nigeria au revoir       *
2,*      no more tweet till after the match nigeria vs france i hope to come baq with a big smile good luck super eagles win      * * but let s talk about today france nigeria at 11 and germany algeria at 3 so great being able to watch soccer all day everyday *
3,*          france vs nigeria is african affair nearly or half of the french team r africans may the best team win worldcup2014           * * time to watch the first game of the day i was gonna out a bet on france to win 3 1 but i reckon their win 4 or 5 0 worldcup brazil2014 *
4,*    crazy world cup fact of the day france has never beaten nigeria germany has never beaten algeria fra nga ger alg worldcup2014     * * nigeria the time has come to hatch from super eggs to super eagles against france win or lose you must not disappoint today fravsnig *
5,* whatever france do nigeria will win this game am very confident worldcup2014 brazil2014 supereagles nigeria nigeria nigeria * *     probably not gonna happen but what if algeria or nigeria advance to the quarterfinals today worldcup alg nga ger fra    *
6,* who is watching the worldcup today then any scores you want to offer france vs nigeria we are thinking fra 4 1 nga at source my car  * * france and nigeria are doing the national anthem i don t know which team i want to go through to the quarter finals fifaworldcup2014 *
7,* nigeria vs france ought to be an exciting game i think france is playing really well this tourney will win today lesbleus worldcup2014 * *    worldcup brazil2014 rolls on with france fra v nigeria nig will the super eagles soar or will the french fly into the 1 4 finals    *
8,*       fifaworldcup best of luck to all teams today i hope germany nigeria will win today srynotsry algeria france        * * i give em a tiny chance to win so let s go nigeria beat these french fucks with cocks on their kits worldcup2014 nga fra *
9,* it s no secret i want france to win but i wish nigeria good luck may it be a clean game and may the best team win fravsnig * *                          fifa round of 16 predictions france v nigeria 2 1 germany v algeria 3 0                           *
10,* fra has been fun to watch as has nga i like france to win in tightly fought game nigeria will make one crucial mistake worldcup * *                        good luck to both african teams playing today nigeria algeria africa worldcup2014                        *
11,* i believe that nigeria s size in the box will be to much for france allowing nigeria to win the 50 50 balls and set plays nga 2 fra 1 * *                                   first half france vs nigeria worldcup2014 worldcup fra nig franig                                   *
12,*     today s predictions france vs nigeria france wins 3 1 germany vs algeria nazis win 2 0    * * nigeria vs france starts now i am going with france they looked good this worldcup fra vs nga *
13,*           fra vs nga nigeria vs france may the best team win worldcup2014            * * i am now watching france vs nigeria in the last 16 of the world cup fra nig worldcup *
14,*    first game of africa v europe kicks off nigeria v france should be interesting then algeria v germany hope algeria win    * * first corner of the match goes to nigeria as koscielny heads away musa takes it and it comes to nothing fra 0 0 nga fravsnga *
15,*                 worldcup2014 watching nigeria and france should be a good game                * * nice build up play from france on the counter breaking with pace corner to the french fra nga *
16,*                      france v nigeria fra nga played 1 france wins 0 draws 0 losses 1 openhappiness                      * * france vs nigeria is on take your lunch break come watch the game with us and get 10 off worldcup2014 soccer sushi miami *
17,*                            nigeria is playing better than france so far i think they going to win                           * * fra vs nig this should be a easy win for the french but nigeria is thw african champions for a reason should be a good game *
18,*   best of luck to the supereagles of nigeria as they play against france at the worldcup2014 today nigeriavsfrance worldcup   * * the way this cup is going nigeria could win and i wouldn t be surprised but i m with benzema for this vive la france fravsnga *
19,* 0 2 in yesterday s knockout round hoping the africans can win at least 1 but alas germany 2 algeria 0 france 1 nigeria 0 * *                i love nigeria that s my squad foreal but i also watched france play those last two games                 *
20,*                                      17 06 time i feel about nigeria will win match with france today                                     * * wanna watch the fravsnga game but i ll watch reply tomorrow at the gym to tired but i know nga won t make it easy for france tho worldcup *
21,*        watching another football match france nigeria world cup brazil 2014 fifaworldcup worldcup2014 worldcup franig       * * fra 0 0 nga 10 nigeria the 1st african team to play 3ko round matches at the wc lost in 1 8 in 1994 and 1998 vs ita and den *
22,*        nigeria s providing a good game for france tbh they re playing well         * * tea biscuits and watching the match between france and nigeria hope france win tho *
