Timestamp,Content
1,*    the last time brazil played germany in the worldcup was 2002 i won a car for predicting a brazilian win tonight it s ger all d way   * * anyways i love both countries germany is my home town n brazil is in my blood so let s hope will be good game let s go football bra ger *
2,*                                          sorry brazil germany wins ger 3 bra 1                                           * * fifa world cup 2014 semi finals 1 is about to start brazil v germany what s your predictions worldcup2014 brazil germany *
3,* its going to be a tough match but brazil need 2 win germany they owe it 2 neymar jr 4 bringing the team dis far * *                    watching live brazil vs germany 2014 fifa world cup semi final bra vs ger                    *
4,* pulling for germany to win against brazil today two great teams going at it in the first semi final world cup match let s go worldcup * * my gut feeling brazilvsgermany fifaworldcup match would end as ger 4 bra 1 hope m proved wrong for brazil fans right for germany fans *
5,* brazil v germany is hopefully going to be the most exciting match so far ger bra both amazing teams but i want to win * *                            game time brazil bra vs germany ger brazilvsgermany worldcup2014                           *
6,* when germany wins today all the brazil fan are going to be like oh its because neymar and silva aren t playing big babies * *       ger might take it but i want bra to win the world cup we ll see brazil will play better in this game worldcup       *
7,* love the brazil team holding up neymar s jersey during national anthem let s win it for him bra brager * *            finally the game just started germany vs brazil good luck germany ger bra gerbra            *
8,*  you got to love the fact that all the kids were singing the national anthem of brasil with feeling bra v ger just for that brazil win  * * looking forward to an awesome worldcup semi final i favor germany to win but hoping brazil does lovely to c neymar jersey with the guys *
9,* brazil vs germany gonna be great game would ve been better if neymar played tho but time for brazil to win it all gobrazil brazilvsgermany * *       brazil are without their two best players in neymar and thiago silva so germany will fancy their chances bra 0 2 ger worldcup        *
10,* the world cup game brazil vs germany is beginning i hope brazil can win and do this for neymar who dream was to play in the finale * *                brazil vs germany kick off lets go big game semi final gonna be a great game bra vs ger cmon brazil                 *
11,*    we will miss the usa today but good luck to brazil and germany on today s worldcup game may the best team win fifa2014    * * excited for this game to kick off hoping for a bra win but predicting a 1 0 to ger lets have it worldcup2014 brazilvsgermany *
12,*           i want germany to win but at the same time ughh it d be so cool if brazil won ger bra worldcup          * * i wish brazil wins buh i think germany has a better team today fifa world cup 2014 worldcup2014 bravsger gervsbra *
13,*         is it bad i want germany to win i think brazil doesn t deserve to win this world cup sorrynotsorry bra ger worldcup          * * semi final time we ll be tuning in to see if brazil can beat germany without neymar where will you be watching worldcup2014 bravsger *
14,* brazil and germany are playing in the worldcup one team will win and be happy and the other team will lose and be sad brazilvsgermany * *                 game on my money is on ger to beat bra i love brazil though but today i m all for germany worldcup2014                *
15,*   gonna watch a great game of football let the best side wins bravsger watching brazil vs germany   * * fifa world cup 1st semi final brazil v s germany 1st half time 4 min bra 0 0 ger brager fifa joinin *
16,* thinking that if brazil beat germany without neymar or silva in the semi this evening they will win the final whoever they end up playing * *                                  i like both bra ger but hopefully brazil will win bravsger worldcup2014                                  *
17,*                     watching germany vs brazil hopefully germany win for this game gerbra brager semifinal final                     * * good luck brazil sending positive thoughts to the bra team beat ger hoping for a brazil holland final bravsger worldcup worldcup2014 *
18,* germany s got this brazil needs to play really well if they re gonna win considering they don t have neymar or silva * *          semi final 1 come on germany want to see brazil out brazil2014 worldcup2014 brazilvgermany bra ger          *
19,* oh man this is going to be one tough ass game i can t wait to see who wins i m going for germany but brazil is still real good * * glad david luiz is the captain if anyone can do silva s job well today it s david luiz brazilvsgermany brazil germany bra ger  *
20,*                 watching the game want germany to win sorry brazil supporters worldcup                * * brazil vs germany so excited for this match i hope it s a great one d go deutschland bra ger worldcup *
21,* i think the winner of this game brazilvsgermany wins the worldcup worldcup2014 brazil germany * *                         1 0 to germany thomas muller bra ger worldcup                         *
22,* goal thomas mueller scores in the 11th minute to put germany up 1 0 versus brazil bra ger * *         goal germany take the lead through thomas muller worldcup2014 bra 0 1 ger         *
23,*          muller gives germany an early 1 0 lead over brazil bra 0 1 ger worldcup2014           * * germany scores first goal even though brazil has home advantage score is 1 0 gervsbra worldcup *
24,*            ger scores first off the corner poor marking by bra leads to the muller goal 1 0 germany early worldcup            * * i don t want brazil nor germany to win this game because they re both good ad if we win tomorrow we have to play against them *
25,*        brazil vs germany goal thomas muller germany scores match minute 11 bra 0 1 ger worldcup        * * germany playing more attacking than usual they re going for the win brazil 0 1 germany brazilvsgermany *
26,* i hope brazil lose this because they ve been shit in every game but i also don t want germany to win because they re german * *                       thomas muller scored it germany 1 0 brazil first half 2014 fifa world cup brazil                      *
27,* to get back into the game brazil are going to want to score a goal to win probably 2 or at least one more than germany bra ger fifa * *      brazil look a very average side without silva and neymar germany look solid muller played poorly but got the goal bravsger     *
28,* omg watching the match germany is winning brazil 1 0 fml shit shit shit noooooooooooooooo brazil pleaseeeeeee do something for neymar 3 * *  brazil bra 0 1 germany ger goooaaalll muller puts the germans a head with his 5th of the tournement they ll take control now bravsger  *
29,* don t you just feel like fifa is going to create some bullshit so brazil can win bra sorry germany ger bravsger worldcup * *               worldcup2014 germany 1 brazil 0 thomas muller world cup matches 10 world cup goals 10 age 24               *
30,*                       i want germany to win but i don t want brazil to lose in the semi final ger bra                        * * my teams are playing each other i am conflicted so ill just root for a great game go brazil go germany worldcup worldcup2014 *
31,*             despite the early goal by germany brazil to win by bra 3 2 ger worldcup2014 worldcup             * * fifa world cup 1st semi final brazil v s germany 1st half gooalll time 20 min bra 0 1 ger brager fifa joinin *
32,*        i wanna see klose s goal worldcup worldcup2014 worldcup2014brazil brasil2014 brazilvsgermany brazil germany bravsger ger bra        * * every time i say i want a team to win a match in the world cup the other team scores i said i wanted brazil to win and then germany scored *
33,*    fifa worldcup 23 goal klose ger gets in the scoresheet to extend the lead of germany 2 0 over brazil brager    * * what if germany beats brazil and klose scores and beats the ronaldo s goal record that would be a huge german win *
34,* miroslav klose record world cup goal scorer of all time wow brazil 0 2 germany bbcworldcup worldcup2014 bravsger klose * *                         klose ger leads bra 2 0 a record 16 worldcup goals for the german wow                          *
35,*                    holy fucking shit 3 0 germany is kicking brazil s ass 24 minutes in wow ger gervsbra                    * * yes klose my all time favourite german player is now the record worldcup goal scorer bra 0 2 ger looks like brazil are out *
36,*          germany again goal again toni kroos oh my fucking god germany 3 0 brazil          * * brazil are gettin raped 4 0 inside 25 mins germany are just too good worldcup2014 worldcup *
37,* are you kidding me germany 3 goals in 2 mins 4 0 ger going to be ugly tonight in brazil worldcup * *       holy shit 25 minutes into this game and germany has scored 4 goals what s up brazil        *
38,*   not watching the game but my phone alerts tell me germany is up 4 0 3 goals in 2 minutes brazil is deflated game over    * * 1st semi final germany v brazil time 27 minutes ger 4 two back to back g0als for kr0os bra 0 gervbra fifaworldcup worldcup *
39,* germany wasting no time 4 0 25 min in it s looking like a long match for brazil only 1 team so far scored against germany in worldcup2014 * *     well this game is ov lol not even fun to watch ha i didn t really care to much but wanted brazil to win since germany beat france     *
40,* for a min i thought i was watching the highlights germany 5 brazil 0 30 mins into the game brazilvsgermany worldcup worldcup2014 * *               germany humiliating brazil now not even giving us enough time to tweet in between goals bra 0 4 ger                *
41,*   khedira scores 5th goal is this a school match going on baaapre 0_o germany 5 0 brazil 29 minutes fifaworldcup   * * wow what am i watching brazil 0 5 germany semi final of the world cup in your home country awkward silence bra ger *
42,*                damn 5 goals already looks like brazil need tim howard lol usa lost 1 0 to germany wtf is going on lol                * * to win brazil needs to score 6 goals in the next 60 minutes of the game and that too with germany not scoring anything more worldcup *
43,* turned on the brazil v germany world cup game i don t usually watch like soccer but 5 0 ger after 28 min is crazy * *         in under 30 minutes the score is brazil 0 germany 5 is this real life brazilvsgermany worldcup2014        *
44,*      ger bra fifa 5 0 germany is embarrassing brazil at home they need to stop the game and germany moves to the final worldcup     * * i feel so proud studying german for my lc 0 5 to germany against brazil in the world cup 4 goals in 6 minutes jesus germanyvsbrazil *
45,*                   germany up 5 0 against brazil scored 4 goals in a matter of minutes crazy game brazilvsgermany                   * * i knew brazil were not going to win today without neymar as germany has an extremely strong team but seriously germany scoring 5 o *
46,*                   1st semi final brazil vs germany time 35 00 1st half score brazil 0 german 5 fifaworldcup2014                    * * did the brazil coach put in the u15 team to play germany in this game brazils making the heat look good what is happening epicfail *
47,*  34 minutes played and germany are beating brazil 5 0 i was not expecting them to have been winning by that much already brazilvsgermany   * * wait i should stop laughing brazil if u lose this game holland will have to play against germany i dont want that so score 6 goals already *
48,*                        portugal lost 4 0 in a full game to germany germany scoring 5 goals on brazil in 30 minutes                         * * don t tell me that neymar and silva would have prevented brazil from losing maybe not as bad but germany is just out playing sorrynotsorry *
49,* bravsger 5 0 in the first 30 minutes wow as much as i love germany s team hope brazil scores a goal or 2 to avoid such humiliation * *           this game is literally as if i was playing fifa with brazil as my team and germany as the npc brazilvsgermany            *
50,* brazil we will win the world cup germany 5 goals brazil i came out to have a good time and honestly i m feeling so attacked right now * *  germany 5 0 germany vs brazil 36minutes into game before half time wow what an unexpected response from brazill 2percent possession  *
51,*       there has been like what 30 minutes of the game and germany has already scored 5 goals on brazil what is going on       * * germany could stop playing and brazil still wouldn t win brazil is a mighty average team germany brazilvsgermany worldcup2014 *
52,*          this soccer game is going to lead to riots in the streets of brazil 0 5 germany at the 40 min mark ger bra worldcup           * * lol tbh i knew and wanted germany to win the world cup but seeing neymar down makes me feel bad and wanna cheer for brazil but oh well *
53,* bravsger what the fudge what s happening 5 0 and not even half time i m still cheering for germany but i feel bad for brazil * *                         final score will be brazil 1 8 germany brazilvsgermany worldcup2014 bra ger                          *
54,*              i m gunna go play the world cup game on my xbox and make brazil win against germany 5 0 to make me feel better             * * breaking news germany will be recruiting fans from the stadium to score goals on brazil in the second half brazilvsgermany worldcup2014 *
55,*          germany score 5 goals under first 30 mins against brazil and last 4 goals is happened within 6 minutes dang          * * got home and turned on the germany brazil game thinking i wouldn t have missed much 5 0 before half time i was wrong worldcup *
56,*                      germany scores 4 goal in 6 minutes against brazil in world cup semi finals world record                       * * this brazil germany game is retarded i thought it was gunna be good clearly 5 0 sweep so far seems pretty easy for them nazi fucks *
57,*        ist semi final fifa world cup 2014 germany vs brazil ger 5 bra 0 ist half complete fifaworldcup         * * 5 goals in 30 minutes against brazil germany truly deserves this game brazilvsgermany germanyvsbrazil worldcup *
58,* half time bra 0 5 ger five german goals in 18 first half minutes has stunned brazil and given germany the well deserved lead * *         watching a rugby semi final game between brazil and germany being played in belo horizante worldcup2014 sad          *
59,*                         bra 0 5 ger half time in semis 3 germany rapped brazil                        * * ht germany 5 0 brazil the germans incredibly score five goals game over bravsger ger ger worldcup2014 *
60,*                                 leh goal post 1st half bra 0 5 ger watching brazil vs germany                                  * * bra 0 5 ger half time brazil already you ve lost the game but please score at least a goal don t end it with 0 brazilvsgermany *
61,*                                   fifa worldcup semi final half time score brazil 0 5 germany                                    * * dont even say that brazil is only losing bc neymar and silva arent playing we all know damn well that germany is an amazing team *
62,* germany will come out at half time with a new formation 11 0 0 however if i was a brazil fan i would be singing we re gonna win 6 5 * *        let s be honest 5 0 score line reflects bad play from brazil rather than good play from germany brazilvsgermany semis        *
63,*               omg i think i m playing a football game in my laptop still it half time germany 5 0 brazil               * * we hope germany score 5 more goals in honour of brazil s injured number 10 neymar football is all about respect mate p *
64,* first half brazil 0 5 germany germany scored 4 goals in six minutes what an epic match i wasn t dreaming was i hmm worldcup * *          don t see the point of playing after half time we all know who s going to win worldcup2014 germany brazil          *
