Timestamp,Content
1,*   whats everyones predictions ahead of todays world cup group games germany usa portugal ghana algeria russia southkorea belgium   * * sticking with my prediction from the start us goes 1 1 1 win ghana tie portugal lose germany still advance bc of goal differential *
2,*           it s almost time por vs ghana and usa vs ger i need germany to win by a lot and portugal to ball out lol let s go            * * i m not watching the usa vs germany game because the only time i ve watched usa play this world cup was the last 2 minutes vs portugal *
3,*    getting ready for germany usa hoping for a tie in the ghana portugal game so both teams would move on regardless of the result   * * i think germany will win today 3 1 but i think the usmnt will still advance because portugal will beat or tie ghana and help us out *
4,* oh god the struggle of wanting to watch both the usa vs germany and the portugal vs ghana games play but them being on at the same time * *                      predictions for the day troubled gha 1 3 por ger 3 1 usa alg 2 0 rus kor 0 2 bel worldcup2014                      *
5,*   wait but i want usa to win against germany but i want portugal to beat ghana and i dont know what game to watch    * * love the away germany kit and good to see poldi start let s hope we get 2 good games here ger usa por gha brasil2014 *
6,*             why would ghana play portugal at the same time we play germany i would like to watch both games usa usmnt             * * today s ger usa and por gha matches are going to be interesting i think all teams can go through depending on the scores worldcup *
7,* germany shud win by atleast 3 goals margin against usa portugal shud beat ghana by 2 3 goal margin so that por qualifies for next rnd * *     usa advances during match today with w d por gha draw portugal goal diff vs us today 5 or por gha score matches usa ger score     *
8,*        currently watching both games ghana vs portugal and germany vs usa i want a germany and ghana win i m praying here       * * over 2 5 goals double for the 5pm games just over evens surely going to rain goals as the group always has done ger usa por gha *
9,* so sad that the usa v germany and ghana v portugal games are playing at the same damn time i can only watch one i dey go watch ghana * *                predictions for today s final group games usa 2 2 ger por 1 2 gha kor 0 2 bel alg 2 1 rus worldcup2014                *
10,*               i m confused i don t know which game to watch via brazil wrld cup 2014 germany vs usa ghana vs portugal                * * if usa lose to ger by one goal gha will be through if they beat por by one goal in a higher scoring match so usa 0 1 ger gha 2 1 por *
11,*              kick off the final matches in group g are underway germany play usa and portugal face ghana ger usa por gha               * * got portugal ghana on as well both these sides have to win and only hope it swings their way in the germany usa game porvsgha worldcup *
12,* last group g games germany in us in w win tie w germany ghana need win w usa loss or more goals portugal need win w us loss more goals * *            four group matches left in the worldcup 8 teams can make it to the next round usa v ger gha v por kick off time             *
13,*                    nowwatching usa germany portugal ghana worldcup usa vs ger por vs gha                    * * how am i supposed to watch the us v germany game and the ghana v portugal game if there on at the same time *
14,* like i said i would love portugal to win if not i will be happy for ghana i also want usa to win their game with germany okay * *     world cup live kick off the games get underway at recife usa 0 0 ger and brasilia por 0 0 gha brazil2014 worldcup2014     *
15,*      what are there two games on at the same time usa v germany portugal v ghana don t you think we want to watch both worldcup     * * usa 1 3 ger and por 0 2 gha are my predictions but i can see portugal scoring after ghana players getting sent home usavsger porgha *
16,*              the most complicated group stage matches portugal ghana germany usa all need to win worldcup worldcup2014              * * por hits the crossbar after 5 mins ronaldo cross almost beating the gha goalkeeper portugal needs goal and a u s defeat cnnworldcup *
17,*           2 huge games 2day usa vs germany and ghana vs portugal cant say who is gonna win in both games tough call            * * por hits the crossbar after 5 mins ronaldo almost beating the gha goalkeeper portugal needs goals and a u s defeat cnnworldcup *
18,*            usa v germany on the tv ghana v portugal on the laptop couldn t pick one game to watch           * * cristiano ronadlo hits bar for por portugal win would be good for usa as long as neither game is a blow out *
19,* portugal ghana 8 0 0 both of these sides will need a favour from today s other game both portugal and ghana need a winner from usa germany * *            2 great games on at the moment watching por v gha live will watch ger v usa straight after shoudl be cracking games             *
20,*                     half the fam wanna watch the ghana vs portugal game while i wanna watch the germany vs usa one                    * * germany is probably going to win the world cup just keep it close and hope portugal beats ghana 1 0 we advance be realistic be honest *
21,* how does espn not have the score time of the ghana portugal game showing in the corner of the screen while people watch usa germany * *    if you want portugal to go to knockout stage as a runner up group then pray for germany to win 4 goals or more against usa por   *
22,* in today s fixtures usa should win over germany and likewise ghana should over portugal it will give ghana redemption proudly african * *                    fifaworldcup porgha por gha portugal free kick and its taken by ronaldo and its deflected by gk                    *
23,*   i ll watch the usa vs germany first half and the ghana vs portugal game second half    * * ronaldo cracks the free kick and dauda does well to push it out for a corner por 0 gha 0 *
24,*   all the sports channels here decided to air the usa vs germany game and not one is airing the portugal vs ghana game  * * if portugal to qualify will have to win by 3 goals and usa to lose by 2 goals against germany worldcup fifaworldcup2014 *
25,*                                germany gonna win dis game usa betta hope ghana portugal draw                                 * * por hits the crossbar after 5 mins ronaldo almost beating the gha goalkeeper portugal needs goals and a u s defeat cworldcup *
26,*          wish i could watch the portugal vs ghana and usa vs germany game at the same time          * * if portugal win 2 0 and germany win 3 0 then a coin toss will decide if por or usa qualify worldcup *
27,* watching germany vs usa and keeping an eye on portugal vs ghana game fifaworldcup2014 gervsusa porvsgha * *      who decided to book the por vs gha match at same time as usa vs ger usavsgermany fifaproblems      *
28,*                          don t know if i m going to watch usa germany or portugal ghana big issue aha                         * * so far recap usa 0 0 ger germany with landslide in possession por 0 0 gha two ronaldo efforts denied portugal better worldcup *
29,*         my little brother tried to make us watch the portugal v ghana game are you even american hellooo usa v germany is on        * * couldn t decide between them so watching both games ger 0 usa 0 on the tv and gha 0 por 0 on the laptop simultaneously worldcup2014 *
30,*        why are they playing portugal and ghana at the same time as usa and germany i want to watch both games live        * * brilliant save from dauda to deny ronaldo powerful header from close range but the gha goalkeeper parries it por worldcup *
31,*     i was planning on watching the germany usa match but i change my mind this ones boring i m going with the portugal vs ghana game    * * close cristiano ronaldo once again he should score this one as he has a free header from 6 8 yards out but the keeper saves por 0 0 gha *
32,*                               is anyone even watching the ghana v portugal game no bc usa v germany                               * * portugal and ghana slugging it out in group g s other game ronaldo hit the bar denied by great stop ghana pressing 21 por 0 0 gha *
33,*                not watching ghana portugal game but seems like ronaldo is playing well gha por                 * * ghana vs portugal wide open game goals are coming usa vs germany slowly but surely opening up as well worldcup *
34,* why is the tv only showing the usa germany game not the portugal ghana game as well livid * *                      don t even wanna watch this game por ger usa gha                     *
35,* just over 20 played in both games ghana 0 0 portugal germany 0 0 usa if it ends this way usa and germany qualify surebet247 brazil2014 * *            my only wish today is that germany and ghana win go go germanyyyyy go go ghanaaaaaaa watching portugal vs ghana             *
36,*                     i wanted to watch germany and usa but the portugal and ghana game is much better                     * * nani s goal against usa was the first scored by portugal in the world cup in 276 minutes por gha openhappiness worldscup *
37,*              i ve been watching the stupid ghana portugal game thinking the usa germany game wasn t on til later               * * although usa vs ger must be a great game but por vs gha is the right choice to watch both teams are killing it to win go ghana *
38,* alright group g i woke up early for this these games had better be good ghana and portugal feel free to tie germany feel free to suck * *               no african player has scored a worldcup goal against portugal since 1986 nice record worldcuptalks por gha              *
39,* a game away to the last 16 for both portugal and ghana in each rely on the outcome of chess tie germany vs usa brazil2014 worldcup2014 * *         i don t know which match to watch ger vs usa or por vs gha o looks like i ll be channel hopping go germany brasil2014          *
40,* i have to watch out for two games usa vs germany and portugal vs ghana if usa and germany tie there s no hope for portugal c * *    so stressed watching both world cup games right now wearing my american flag socks for good luck usa vs ger por vs gha    *
41,*            goal portugal 1 0 ghana john boye scores in the wrong net por gha            * * own goal in the gha game boye turns it into his own net and portugal takes the lead 1 0 *
42,* portugal goal john boye scores the own goal and portugal takes a 1 0 lead usa in better shape with portugal win than a ghana win * *      gha just scored an own goal to put itself down 1 0 to por that s a good thing for usa usmnt worldcup usavsger porvsgha      *
43,*                        por 1 0 gha boye 31 scores first goal giving portugal lead against ghana wc2014 porvsgha                       * * usa should be happy about that goal to be honest por entered 5 back on gd even if usmnt loses 1 0 portugal needs a 4 0 win to advance *
44,* por up 1 0 courtesy of a gha own goal portugal have to score 3 more and hope usa lose to germany to qualify worldcup2014 * *   portugal take the lead through a john boye og worldcup por gha portugal now 1 3 to win the match 9 2 draw 7 1 ghana    *
45,*                  portugal just scored to take a 1 0 lead goal differential right now usa 1 ghana 2 portugal 3                  * * goal just seconds after the referee blocked a ghanaian pass in a good position portugal take the lead por 1 0 gha john boye og *
46,*                             goal portugal 1 0 ghana og boye worldcup por gha brazil2014 worldcup2014                             * * if usa lose by a goal then a 4 goal win is enough for portugal on goals scored 2 goal usa loss and 3 goal portugal win is enough *
47,*        goal for por leading gha 1 0 which is good for us usa futbol fans portugal has 4 goal differential compared to 1 for ghana        * * watching the usa germany game on tv the portugal ghana on the sbs app annoyed they told me they had scored before it happened on the app *
48,* here s what i want to happen germany would draw with usa and ghana would win portugal 3 1 with cr7 scoring i win both ways worldcup2014 * *                          sonuwater john boye scores an own goal to send portugal ahead por 1 0 gha worldcup2014                         *
49,* ghana scores on itself 1 0 for portugal usa vs germany still 0 0 both games are around 40 minutes of play worldcup * *         portugal lead vs ghana they now sit at 3 in goal differential u s at 1 ger 5pts usa 5pts por 4pts          *
50,* how many of you hope like me that usa win 2 0 against germany and portugal win 3 0 against ghana kicking germany out of wc * *      i know were all watching the usa game but boye from ghana just scored on his own goal to give portugal the lead       *
51,*               portugal lead vs ghana they now sit at 3 in goal differential u s at 1 ger 5pts usa 5pts por 4pts ohmaii por              * * germany needs to win big time and portugal needs to score 2 3 more goals so portugl gets through fucking fuck dont let me down portugal *
52,* portugal s ahead of ghana 1 0 if they win 2 0 and usa loses 3 0 a coin flip would determine who advances with germany gocougs * *        okay this isn t win tie or die what s the chances of portugal scoring 5 goals against ghana belgium here we come       *
53,* if portugal wins 1 0 and usa loses 1 0 usa advances for having the least goals scored on them is that how it works * * okay i m a little bitch and won t watch the usa and germany game so i m watching portugal and ghana let s go ghana *
54,*     portugual with a 1 0 lead over ghana usa germany portugal ghana all at the same mark in the game heading toward half soon      * * ibelievethatwe will win or tie or lose but with portugal or ghana still not advancing due to goal differential or head to head usa *
55,* usa germany still tied portugal beating ghana but that s okay portugal needs to win usa to lose and score like 5 goals to advance  * * the game is nearing the end of the first half as things stand both ghana and portugal will be eliminated por 1 0 gha sowetansoccer *
