Timestamp,Content
1,*    worldcup group a standings 1 bra 4 points 2 2 mex 4 points 1 3 cro 3 points 2 4 cmr 0 points 5 eliminated     * * gonna watch mexico s game first record brasil s and after mexico s game is done i m gonna watch brasil s bra mex *
2,*                               score predictions for tonight s worldcup games bra 2 0 cmr and cro 1 1 mex                               * * gonna see new barca man ivan rakitic play sure he s gonna help carry croatia to victory over a tough mexico barca cro mex worldcup2014 *
3,* cmr 29 0 bra 1 13 draw 10 5 cro 2 78 mex 2 71 draw 3 64 who ll top the group who s going through worldcup2014 * *           bra v cam or cro v mex think brazil will have some goals but croatia better game decisions          *
4,*          just got in from work looks like i ll have to watch cro v mex fuck bra v cmr shit game come on croatia cro          * * who is gonna win croatia or mexico cro mex cromex worldcup wm2014 wc2014 wc14 riskeverything worldcupbrazil2014 worldcup2014 *
5,*                            nowwatching croatia mexico cameroon brazil worldcup cro vs mex cmr vs bra                             * * right then time for mex against cro the game that really matters this evening fancy mexico although croatia have the better team *
6,* bra finish 1st with better result than mex mex advance with draw or win cro advance with win come on mexico at least get the tie * *     predictions for the 9pm matches then people i m going for bra 3 0 cam cro 2 1 mex teamfa good luck with your bets people     *
7,* round 3 game 33 34 cmr vs bra and cro vs mex time to see if mex can pull ahead in group a * *                   love when mexico sing their national anthem __ mex cro                  *
8,* time for bra vs cmr and mex vs cro brazil advances with win draw and winner of mexico croatia advances mexico can advance with draw * *              i love mexico s national anthem it s on full blast in my house right now proud to be a fucking mexican mex             *
9,* i think the mexico vs croatia game will be better then this but there s no way i m missing brasil worldcup bra mex cro cmr * * leave it to the mex national anthem to be sung in an epic manner today s match against cro will be a barn burner mexvscro  *
10,*              it s time to watch cameroon cmr vs brazil bra croatia cro vs mexico mex wcbrazil14             * * ready to kick off this afternoon s games in groupa cro vs mex and cmr vs bra kicks off at 3 p m ct worldcup *
11,* cmr vs bra has just kicked off so has the game between mex vs cro worldcup2014 * *    kickoff croatia cro mexico mex itaipava arena pernambuco recife worldcup    *
12,* parallel games in the worldcup for the third round of group matches now bra v cam and mex v cro shown as conference on german tv * *                             watching croatia v mexico matchesthatmeansomething worldcup2014 cro mex                              *
