Timestamp,Content
1,*      this mexico mex vs the netherlands ned game better be good because i didn t wake up this early for nothing      * * the opening to the dutch national anthem reminds me of the 12 days of christmas mex ned nedmex worldcup worldcup2014 *
2,*  world cup footie holland and mexico hope mexico beat the dutch ned mex itvworldcup worldcup worldcup2014 * * round of 16 netherlands v mexico lka srilanka worldcup national anthems being played match about to start *
3,* want hernandez to do well for mexico but still want van gaal and van persie s netherlands to win dilemma ned mex * *          mexico faring only slightly better not very strong national anthem game today from either team          *
4,*     going for a netherlands win mexico won t go down without a fight though ned mex     * * finally i get to watch a world cup soccer game since i don t work today mexico worldcup *
5,* mexvsned should be a great game today mexico is going to win in my opinion but i d be surprised if the netherlands make a comeback * *              this is going to be fantastic game ned vs mex van persie robben ochoa just can t get enough oof worldcup              *
6,* going to be a physical game mex ned worldcup hope mexico wins but netherlands should win * *    i bet nedmex 4 2 robben 3 mexico 1 1half ned mex 0 1 2half nakes man worldcup2014     *
7,* excited for this netherlands mexico game to start it s going to be a good game worldcup mex ned * *     i grew up in mexico i am desperate for mex to win today mexicovsnetherlands worldcup2014    *
8,* ned 0 0 mex 3 these two teams have played each other 6 times mexico won the first 2 one draw and 3 netherlands wins in the last 4 * *                                      watching the game netherlands vs mexico hup holland hup                                      *
9,* looking forward to the game not really supporting either team but would be great to see the underdog win so let s go mexico mex ned * *            im gonna watch the game netherlands mexico with ptv on my headphones still i want the netherlands to win haha            *
10,*                   mexico is actually really good don t sleep netherlands better watch out ned mex                   * * i m hoping that mexico wins but in the end i think the dutch will take this one shud b a good game tho worldcup2014 *
11,* ned offense vs mex defense this is gonna be an awesome game being for usa i guess i d like mexico to win this 1 fifaworldcup * *             ochoa isn t playing with bastia today not going to be an easy game for the netherlands vamos mexico              *
12,* i think the pace of robben paired with rvp will be too much for mexico off the counter i predict a 3 1 netherlands win ned mex worldcup * *                off to mass during the mexico netherlands game god help the team miseleccionmx worldcup2014 offeritup mex                *
13,* ned 0 0 mex 3 these two teams have played each other 6 times mexico won the first 2 one draw and 3 netherlands wins in the last 4 * *                 game time mexico vs netherlands nedmex mex mex mex vivamexico worldcup worldcup2014 becausefutbol                 *
14,* this game is gonna get interesting netherlands may just win but feel that mexico are good enough to win this game as well * *               i think mexico are going to do the netherlands i predict 2 1 bbcworldcup worldcup2014 mex ned               *
15,*     early change for holland nigel de jong hobbles off for bruno martins indi in the 9th minute ned 0 0 mex worldcup     * * worldcup brazil2014 round of 16 match ned v mex who will proceed to the quarter final netherlands or mexico d game is on *
16,* netherlands with a quick substitution now nigel de jong with a problem and martins indi will replace him ned 0 0 mex 9 * *  i think mexico gonna win it by 2 1 this hot condition could be a problem for holland watching netherlands vs mexico   *
17,*          nigel de jong injured and off for holland on comes bruno martins indi ned 0 0 mex worldcup          * * tbh netherlands looks really nervous mexico has nothing to loose and everything to win this game is ours mex *
18,* netherlands aren t that good they have may have a better lineup but mexico will win this easy with good ball control and smart passes * *                                           woke up early to watch the mex vs ned game mexico                                           *
19,* mexico is proposing a good game against netherlands so bad ned gonna win * * i don t care if mexico are playing mexican waves are plain wrong mex ned *
20,*         anyway time for football mexico better play a good game even if they don t win they better put up a good fight         * * mexico with something like 70 possession in the first 10 minutes here netherlands struggling to retain it early on ned 0 0 mex *
21,* of mexico wants to win so bad they better take better care of the ball and slow the pace of the game but netherlands is taking it anyway * *                                holland vs mexico mexico have started well but holland to win 2 1 ned mex                                 *
22,*                   if mexico wins i ll be happy if the netherlands wins i ll be happy it s win win for me today mex ned                   * * opening 15 minutes and mexico is really brining the game to the dutch don t think they expected mex to press so high or play so physical *
23,* problem with netherlands is that it doesn t really play nice football it just gets one chance and one goal mexico better score zachangu * *  i m not going to be cocky say mexico is going to win for sure cause this game is going to be hard i m just hoping we beat netherlands  *
24,*                               mexico playing like they want to win more than netherlands good shit mex                               * * so close from mex dutch playing a dangerous game seem very very off today mexico getting second and third easy passes in final third *
25,* mexico is showing more attacking game than netherlands mex ned worldcup2014 worldcup * * as much as i want the netherlands to win i got to admit mexico is playing better rn  *
26,*                    i love how mexico plays now we have a good chance beating netherlands and winning the world cup                     * * tight game but mexico have made the early running might they deal with the conditions more comfortably than the dutch ned mex worldcup *
27,*                i think and i hope mexico wins today s game mex ned worldcup2014                * * netherlands playing dirty wassup refs call something mexico worldcup worldcup2014 allornothing *
28,* netherlands playing dirty and refs aren t calling shit this looks like it s going to be the brazil game all over again for mexico * *                     how was that not a penalty to mexico the dude got his head kicked ref ned 0 0 mex worldcup                    *
29,* mexico are playing really good football so calm unlike netherlands mex ned * *  i want netherlands to win this game against mexico worldcup2014 holland   *
30,*                          the dutch need to up their game ned mex nedvsmex netherlands mexico worldcup                         * * mexico is playing to win holland is doing well i don t know what the hell they re doing you have to score to win push forward *
31,* even though i can t watch the game i know my team netherlands is going to win beat mexico ned vs mex * *   mexico is playing like a beast holland had better step it up before they actually score worldcup   *
32,* i definitely want mexico to win and they re playing much better but the netherlands has a good team and i don t think they can handle this * *      looks like ned capt doesnt want 2 wait until end of match 2 take that mex jersey espn eltri nedmex worldcup worldcup2014 mexico       *
33,* nedvsmex the netherlands are still asleep and they are allowing mexico into the game i hope they are not playing to wear out the mexicans * *       i know it might sound crazy but ned missing hard working players like kuyt nedmex ned mex worldcup2014 mexned mexico nedvsmex       *
34,*                  netherlands have the worst style of play defense and dirty this time i hope mexico wins                  * * i am so excited watching the wordcup2014 matches there are new talents we discover in every new game ned vs mex go mexico *
35,*                     damn i want netherlands to win but mexico is playing a good game nedvsmex worldcup                     * * mexico haven t scored a wc goal in the first hour since 2006 8 games great stat doesn t bode well for holland worldcup2014 *
36,* mexico really playing well against the dutch they have been better so far in this game but can they do it for 60 more minutes ned mex * *               mexico in good shape let s see what the mighty netherlands can do may the best team win nedvsmex worldcup               *
37,* ned 0 0 mex come on netherlands robinvanpersie manchesterunited time to score some goals on shitty mexico worldcup2014 * *               even though i want netherlands to win mexico is playing a better game worldcup brazil2014                *
38,*      3 minute cooling break starting now ned 0 0 mex 32 of 90 played worldcup worldcup2014      * * fifa worldcup 32 game interrupted referee calls a cooling break netherlands 0 0 mexico nedvsmex *
39,* cooling break in the football game everyone can have some water before the play continues cute ned mex worldcup * *         football worldcup2014 30 netherlands 0 0 mexico take a 3 minute cooling break 38 degrees celsius        *
40,*          imagine if the world cup is in qatar constant cooling breaks espn would love it for all the ad time worldcup ned mex         * * 32 minutes into this mexico netherlands game we have a water break playing conditions favor mexico they ve dominated the dutch so far *
41,*                 cooling break in worldcup ned 0 vs mex 0 who is playing better tin our opinion is mexico                * * fifa said that netherlands have a 55 chance of winning the game and mexico has a 45 of going home yet mex is dominating *
42,*                 worldcup worldcup2014 fifa mexned mex 0 vs 0 ned cooling break in this hot game back after 36 min                  * * temp in netherlands and mexico game 38 deg cent humidity 65 players taking cooling break what is fifa going to do in qatar blatter *
43,* interesting 3 minute cooling break in ned mex worldcup game in qatar they ll have a 42 minute cooling break 3minute football halves * *           i feel like i m in mexico watching this game this restaurant might riot if mex doesn t win worldcup2014 mexvsned          *
44,* screw a cooling off break play football ya poofs man up water is for fags worldcup ned mex nedmex nedvsmex * *             mexico giving the dutch a good game just need a better final ball mex worldcup ned             *
45,*  if mexico wants to win this game they have to finish their plays and if netherlands wants to win they gotta actually play offense  * * mex ned cooling break best fifa idea since goal line technology even old school player like me sees the merit worldcup worldcup2014 *
46,*        lol family in netherlands betting on ned winning enough reason for me to be fully behind mex go mexico go        * * mexico playing well and taking shots holland struggling to find the rhythm robben and rvp been quiet open game mexvsned *
