ID,MatchID,EventType,MinuteRenormalized,TweetCountPercentage,EventProportion
0_0.0,0,0,0.0,0.11746031746031746,0.06349206349206349
0_1.0,0,0,0.007751937984496124,0.11746031746031746,0.047619047619047616
0_2.0,0,0,0.015503875968992248,0.15555555555555556,0.05333333333333334
0_3.0,0,0,0.023255813953488372,0.20317460317460317,0.03333333333333333
0_4.0,0,0,0.031007751937984496,0.33015873015873015,0.023076923076923078
0_5.0,0,0,0.03875968992248062,0.2507936507936508,0.0380952380952381
0_6.0,0,0,0.046511627906976744,0.23492063492063492,0.04
0_7.0,0,0,0.05426356589147287,0.35555555555555557,0.014492753623188406
0_8.0,0,0,0.06201550387596899,0.3682539682539683,0.014084507042253521
0_9.0,0,1,0.06976744186046512,0.3047619047619048,0.04918032786885246
0_10.0,0,1,0.07751937984496124,0.6190476190476191,0.03619909502262444
0_11.0,0,1,0.08527131782945736,0.4158730158730159,0.012738853503184714
0_12.0,0,0,0.09302325581395349,0.3523809523809524,0.0072992700729927005
0_13.0,0,0,0.10077519379844961,0.30793650793650795,0.016260162601626018
0_14.0,0,0,0.10852713178294573,0.30793650793650795,0.032520325203252036
0_15.0,0,0,0.11627906976744186,0.2126984126984127,0.07526881720430108
0_16.0,0,1,0.12403100775193798,0.6761904761904762,0.24686192468619247
0_17.0,0,1,0.13178294573643412,0.7714285714285715,0.1895910780669145
0_18.0,0,1,0.13953488372093023,0.6126984126984127,0.228310502283105
0_19.0,0,1,0.14728682170542637,0.48253968253968255,0.19101123595505617
0_20.0,0,1,0.15503875968992248,0.28253968253968254,0.14782608695652175
0_21.0,0,1,0.16279069767441862,0.273015873015873,0.11607142857142858
0_22.0,0,1,0.17054263565891473,0.273015873015873,0.13392857142857142
0_23.0,0,1,0.17829457364341086,0.18412698412698414,0.11904761904761904
0_24.0,0,1,0.18604651162790697,0.13333333333333333,0.08823529411764706
0_25.0,0,1,0.1937984496124031,0.18095238095238095,0.1686746987951807
0_26.0,0,0,0.20155038759689922,0.12063492063492064,0.15625
0_27.0,0,0,0.20930232558139536,0.15555555555555556,0.06666666666666667
0_28.0,0,0,0.21705426356589147,0.1523809523809524,0.06756756756756757
0_29.0,0,0,0.2248062015503876,0.06666666666666667,0.0
0_30.0,0,0,0.23255813953488372,0.12063492063492064,0.09375
0_31.0,0,1,0.24031007751937986,0.08888888888888889,0.07407407407407407
0_32.0,0,0,0.24806201550387597,0.0761904761904762,0.04
0_33.0,0,0,0.2558139534883721,0.1365079365079365,0.10144927536231885
0_34.0,0,1,0.26356589147286824,0.09841269841269841,0.07017543859649122
0_35.0,0,1,0.2713178294573643,0.08253968253968254,0.057692307692307696
0_36.0,0,0,0.27906976744186046,0.19365079365079366,0.3103448275862069
0_37.0,0,0,0.2868217054263566,0.10158730158730159,0.06896551724137931
0_38.0,0,0,0.29457364341085274,0.03492063492063492,0.02702702702702703
0_39.0,0,0,0.3023255813953488,0.05714285714285714,0.06818181818181818
0_40.0,0,0,0.31007751937984496,0.08571428571428572,0.05660377358490566
